m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,nearest,saturate,98.15,1
1,0,trunc,saturate,73.01,1
1,0,stochastic,saturate,41.8,1
1,0,ceil,saturate,11.37,1
1,0,floor,wrap,10.55,1
1,0,stochastic,wrap,10.18,1
1,0,nearest,wrap,10.03,1
0,1,floor,saturate,9.8,1
1,0,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
0,1,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
0,1,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
0,1,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
1,0,ceil,wrap,9.77,1
1,0,trunc,wrap,7.11,1
0,2,nearest,saturate,98.0,2
2,0,nearest,saturate,98.0,2
1,1,nearest,saturate,97.92,2
0,2,trunc,saturate,89.78,2
1,1,trunc,saturate,76.09,2
2,0,trunc,saturate,73.49,2
2,0,stochastic,saturate,44.5,2
0,2,stochastic,saturate,40.33,2
1,1,stochastic,saturate,37.74,2
2,0,trunc,wrap,24.0,2
2,0,floor,wrap,12.73,2
0,2,ceil,saturate,11.37,2
2,0,ceil,saturate,11.37,2
1,1,ceil,saturate,11.36,2
1,1,floor,wrap,10.37,2
0,2,stochastic,wrap,10.27,2
0,2,trunc,wrap,10.24,2
0,2,nearest,wrap,10.23,2
1,1,stochastic,wrap,10.2,2
1,1,nearest,wrap,10.17,2
2,0,nearest,wrap,10.06,2
0,2,floor,wrap,9.83,2
0,2,ceil,wrap,9.82,2
0,2,floor,saturate,9.81,2
1,1,floor,saturate,9.8,2
2,0,floor,saturate,9.8,2
1,1,ceil,wrap,9.75,2
1,1,trunc,wrap,8.05,2
2,0,stochastic,wrap,6.97,2
2,0,ceil,wrap,6.1,2
0,3,nearest,saturate,98.06,3
3,0,nearest,saturate,97.98,3
1,2,nearest,saturate,97.96,3
2,1,nearest,saturate,97.96,3
0,3,trunc,saturate,93.55,3
3,0,nearest,wrap,90.69,3
1,2,trunc,saturate,90.0,3
2,1,trunc,saturate,76.31,3
3,0,trunc,saturate,73.57,3
3,0,trunc,wrap,72.92,3
3,0,stochastic,saturate,46.5,3
0,3,stochastic,saturate,42.25,3
1,2,stochastic,saturate,40.31,3
2,1,stochastic,saturate,35.73,3
2,1,trunc,wrap,14.75,3
3,0,stochastic,wrap,14.58,3
2,1,floor,wrap,12.7,3
0,3,ceil,saturate,11.37,3
2,1,ceil,saturate,11.37,3
3,0,ceil,saturate,11.37,3
1,2,ceil,saturate,11.36,3
0,3,floor,wrap,10.36,3
2,1,nearest,wrap,10.34,3
1,2,ceil,wrap,10.28,3
0,3,ceil,wrap,10.26,3
1,2,stochastic,wrap,10.19,3
0,3,stochastic,wrap,10.11,3
0,3,trunc,wrap,10.06,3
1,2,floor,wrap,9.99,3
0,3,nearest,wrap,9.98,3
1,2,trunc,wrap,9.94,3
0,3,floor,saturate,9.88,3
1,2,floor,saturate,9.83,3
2,1,floor,saturate,9.8,3
3,0,floor,saturate,9.8,3
1,2,nearest,wrap,9.65,3
2,1,stochastic,wrap,7.03,3
2,1,ceil,wrap,6.42,3
3,0,ceil,wrap,6.12,3
3,0,floor,wrap,3.65,3
0,4,nearest,saturate,98.08,4
1,3,nearest,saturate,98.08,4
2,2,nearest,saturate,98.08,4
4,0,nearest,saturate,98.0,4
4,0,nearest,wrap,97.98,4
3,1,nearest,saturate,97.91,4
0,4,trunc,saturate,94.66,4
1,3,trunc,saturate,93.61,4
2,2,trunc,saturate,89.65,4
3,1,nearest,wrap,88.16,4
3,1,trunc,saturate,76.58,4
3,1,trunc,wrap,74.94,4
4,0,trunc,wrap,73.3,4
4,0,trunc,saturate,73.17,4
1,3,stochastic,saturate,45.27,4
4,0,stochastic,saturate,45.0,4
0,4,stochastic,saturate,43.35,4
2,2,stochastic,saturate,40.77,4
3,1,stochastic,saturate,40.24,4
4,0,stochastic,wrap,39.75,4
2,2,trunc,wrap,16.21,4
3,1,stochastic,wrap,13.42,4
2,2,floor,wrap,11.53,4
0,4,ceil,saturate,11.37,4
2,2,ceil,saturate,11.37,4
3,1,ceil,saturate,11.37,4
4,0,ceil,saturate,11.37,4
4,0,ceil,wrap,11.37,4
1,3,ceil,saturate,11.36,4
1,3,ceil,wrap,10.69,4
1,3,stochastic,wrap,10.45,4
0,4,ceil,wrap,10.36,4
1,3,floor,wrap,10.07,4
1,3,nearest,wrap,10.07,4
0,4,nearest,wrap,10.02,4
0,4,floor,wrap,9.99,4
1,3,trunc,wrap,9.93,4
1,3,floor,saturate,9.9,4
0,4,floor,saturate,9.87,4
2,2,floor,saturate,9.81,4
0,4,trunc,wrap,9.81,4
3,1,floor,saturate,9.8,4
4,0,floor,saturate,9.8,4
0,4,stochastic,wrap,9.74,4
3,1,ceil,wrap,9.36,4
2,2,nearest,wrap,9.0,4
2,2,ceil,wrap,6.81,4
4,0,floor,wrap,6.33,4
2,2,stochastic,wrap,6.32,4
3,1,floor,wrap,3.94,4
0,5,nearest,saturate,98.09,5
1,4,nearest,saturate,98.07,5
3,2,nearest,saturate,98.04,5
2,3,nearest,saturate,98.0,5
4,1,nearest,saturate,97.98,5
5,0,nearest,saturate,97.98,5
5,0,nearest,wrap,97.98,5
4,1,nearest,wrap,97.89,5
0,5,trunc,saturate,95.43,5
1,4,trunc,saturate,94.71,5
2,3,trunc,saturate,93.56,5
3,2,trunc,saturate,89.53,5
3,2,trunc,wrap,87.41,5
3,2,nearest,wrap,87.19,5
4,1,trunc,wrap,76.55,5
4,1,trunc,saturate,76.41,5
5,0,trunc,saturate,73.18,5
5,0,trunc,wrap,73.18,5
0,5,stochastic,saturate,47.02,5
5,0,stochastic,saturate,46.12,5
5,0,stochastic,wrap,45.94,5
1,4,stochastic,saturate,41.29,5
2,3,stochastic,saturate,41.0,5
3,2,stochastic,saturate,38.44,5
4,1,stochastic,saturate,34.47,5
4,1,stochastic,wrap,29.33,5
2,3,trunc,wrap,16.11,5
3,2,stochastic,wrap,13.34,5
0,5,ceil,saturate,11.37,5
1,4,ceil,saturate,11.37,5
2,3,ceil,saturate,11.37,5
5,0,ceil,saturate,11.37,5
5,0,ceil,wrap,11.37,5
3,2,ceil,saturate,11.36,5
4,1,ceil,saturate,11.36,5
4,1,ceil,wrap,11.36,5
2,3,floor,wrap,11.14,5
0,5,stochastic,wrap,10.6,5
1,4,ceil,wrap,10.45,5
0,5,floor,wrap,10.4,5
3,2,ceil,wrap,10.34,5
0,5,ceil,wrap,10.14,5
0,5,trunc,wrap,10.09,5
1,4,floor,wrap,10.08,5
0,5,floor,saturate,9.92,5
1,4,floor,saturate,9.87,5
1,4,trunc,wrap,9.85,5
2,3,floor,saturate,9.84,5
1,4,nearest,wrap,9.84,5
3,2,floor,saturate,9.8,5
4,1,floor,saturate,9.8,5
5,0,floor,saturate,9.8,5
1,4,stochastic,wrap,9.78,5
0,5,nearest,wrap,9.56,5
5,0,floor,wrap,9.48,5
2,3,nearest,wrap,8.36,5
2,3,ceil,wrap,6.77,5
4,1,floor,wrap,6.35,5
2,3,stochastic,wrap,6.15,5
3,2,floor,wrap,4.32,5
1,5,nearest,saturate,98.17,6
3,3,nearest,saturate,98.1,6
2,4,nearest,saturate,98.03,6
4,2,nearest,saturate,98.0,6
0,6,nearest,saturate,97.94,6
4,2,nearest,wrap,97.93,6
5,1,nearest,saturate,97.84,6
5,1,nearest,wrap,97.84,6
0,6,trunc,saturate,95.56,6
1,5,trunc,saturate,95.52,6
2,4,trunc,saturate,94.89,6
3,3,trunc,saturate,93.71,6
3,3,trunc,wrap,90.48,6
4,2,trunc,saturate,89.96,6
4,2,trunc,wrap,89.94,6
3,3,nearest,wrap,86.58,6
5,1,trunc,saturate,76.38,6
5,1,trunc,wrap,76.38,6
0,6,stochastic,saturate,44.55,6
3,3,stochastic,saturate,43.76,6
2,4,stochastic,saturate,43.04,6
4,2,stochastic,saturate,43.03,6
1,5,stochastic,saturate,41.51,6
5,1,stochastic,saturate,41.09,6
5,1,stochastic,wrap,40.97,6
4,2,stochastic,wrap,37.3,6
2,4,trunc,wrap,15.04,6
3,3,stochastic,wrap,14.25,6
0,6,ceil,saturate,11.38,6
1,5,ceil,saturate,11.37,6
3,3,ceil,saturate,11.37,6
4,2,ceil,saturate,11.37,6
5,1,ceil,saturate,11.37,6
4,2,ceil,wrap,11.37,6
5,1,ceil,wrap,11.37,6
2,4,ceil,saturate,11.36,6
3,3,ceil,wrap,10.95,6
2,4,floor,wrap,10.85,6
0,6,stochastic,wrap,10.8,6
1,5,stochastic,wrap,10.27,6
0,6,nearest,wrap,10.24,6
1,5,ceil,wrap,10.2,6
1,5,floor,wrap,10.19,6
1,5,nearest,wrap,10.11,6
0,6,floor,wrap,10.05,6
1,5,trunc,wrap,9.99,6
0,6,trunc,wrap,9.96,6
0,6,floor,saturate,9.92,6
0,6,ceil,wrap,9.89,6
1,5,floor,saturate,9.88,6
2,4,floor,saturate,9.87,6
3,3,floor,saturate,9.85,6
4,2,floor,saturate,9.81,6
5,1,floor,saturate,9.8,6
5,1,floor,wrap,9.49,6
2,4,nearest,wrap,8.72,6
4,2,floor,wrap,7.26,6
2,4,ceil,wrap,6.99,6
2,4,stochastic,wrap,6.05,6
3,3,floor,wrap,4.37,6
0,7,nearest,saturate,98.15,7
1,6,nearest,saturate,98.08,7
4,3,nearest,saturate,98.02,7
5,2,nearest,saturate,98.01,7
5,2,nearest,wrap,98.01,7
2,5,nearest,saturate,97.99,7
4,3,nearest,wrap,97.99,7
3,4,nearest,saturate,97.95,7
1,6,trunc,saturate,95.77,7
0,7,trunc,saturate,95.75,7
2,5,trunc,saturate,95.7,7
3,4,trunc,saturate,94.82,7
4,3,trunc,saturate,93.67,7
4,3,trunc,wrap,93.65,7
3,4,trunc,wrap,91.07,7
5,2,trunc,saturate,89.77,7
5,2,trunc,wrap,89.77,7
3,4,nearest,wrap,86.48,7
0,7,stochastic,saturate,45.44,7
2,5,stochastic,saturate,45.14,7
1,6,stochastic,saturate,43.4,7
4,3,stochastic,saturate,42.28,7
3,4,stochastic,saturate,42.23,7
5,2,stochastic,saturate,39.76,7
5,2,stochastic,wrap,39.58,7
4,3,stochastic,wrap,37.27,7
3,4,stochastic,wrap,15.28,7
2,5,trunc,wrap,14.97,7
3,4,ceil,wrap,11.42,7
0,7,ceil,saturate,11.37,7
2,5,ceil,saturate,11.37,7
4,3,ceil,saturate,11.37,7
4,3,ceil,wrap,11.37,7
1,6,ceil,saturate,11.36,7
3,4,ceil,saturate,11.36,7
5,2,ceil,saturate,11.36,7
5,2,ceil,wrap,11.36,7
2,5,floor,wrap,10.43,7
1,6,ceil,wrap,10.3,7
0,7,stochastic,wrap,10.29,7
0,7,trunc,wrap,10.13,7
1,6,trunc,wrap,10.11,7
0,7,floor,wrap,10.03,7
1,6,stochastic,wrap,9.97,7
0,7,floor,saturate,9.95,7
1,6,floor,saturate,9.93,7
1,6,nearest,wrap,9.93,7
2,5,floor,saturate,9.92,7
4,3,floor,saturate,9.87,7
0,7,ceil,wrap,9.85,7
3,4,floor,saturate,9.84,7
5,2,floor,saturate,9.81,7
1,6,floor,wrap,9.45,7
5,2,floor,wrap,9.35,7
0,7,nearest,wrap,9.24,7
4,3,floor,wrap,8.15,7
2,5,nearest,wrap,8.13,7
2,5,ceil,wrap,6.82,7
2,5,stochastic,wrap,6.2,7
3,4,floor,wrap,4.41,7
1,7,nearest,saturate,98.12,8
5,3,nearest,saturate,98.1,8
5,3,nearest,wrap,98.1,8
3,5,nearest,saturate,98.06,8
2,6,nearest,saturate,98.05,8
0,8,nearest,saturate,98.03,8
4,4,nearest,saturate,97.96,8
4,4,nearest,wrap,97.96,8
1,7,trunc,saturate,95.9,8
2,6,trunc,saturate,95.59,8
0,8,trunc,saturate,95.55,8
3,5,trunc,saturate,95.34,8
4,4,trunc,saturate,94.96,8
4,4,trunc,wrap,94.95,8
5,3,trunc,saturate,93.52,8
5,3,trunc,wrap,93.52,8
3,5,trunc,wrap,91.5,8
3,5,nearest,wrap,86.35,8
2,6,stochastic,saturate,46.62,8
5,3,stochastic,saturate,43.99,8
5,3,stochastic,wrap,43.78,8
4,4,stochastic,saturate,43.29,8
1,7,stochastic,saturate,42.85,8
0,8,stochastic,saturate,42.77,8
3,5,stochastic,saturate,42.61,8
4,4,stochastic,wrap,37.85,8
3,5,stochastic,wrap,15.83,8
2,6,trunc,wrap,14.6,8
3,5,ceil,wrap,11.51,8
4,4,ceil,saturate,11.38,8
3,5,ceil,saturate,11.37,8
5,3,ceil,saturate,11.37,8
4,4,ceil,wrap,11.37,8
5,3,ceil,wrap,11.37,8
0,8,ceil,saturate,11.36,8
1,7,ceil,saturate,11.36,8
2,6,ceil,saturate,11.36,8
2,6,floor,wrap,10.82,8
0,8,floor,wrap,10.59,8
1,7,trunc,wrap,10.54,8
0,8,ceil,wrap,10.49,8
0,8,nearest,wrap,10.32,8
1,7,ceil,wrap,10.2,8
1,7,nearest,wrap,10.12,8
0,8,floor,saturate,10.0,8
1,7,floor,saturate,9.96,8
2,6,floor,saturate,9.93,8
0,8,stochastic,wrap,9.93,8
3,5,floor,saturate,9.91,8
4,4,floor,saturate,9.85,8
5,3,floor,saturate,9.82,8
0,8,trunc,wrap,9.8,8
1,7,stochastic,wrap,9.77,8
1,7,floor,wrap,9.41,8
5,3,floor,wrap,9.29,8
4,4,floor,wrap,8.46,8
2,6,nearest,wrap,8.04,8
2,6,ceil,wrap,6.76,8
2,6,stochastic,wrap,6.09,8
3,5,floor,wrap,4.73,8
3,6,nearest,saturate,98.12,9
4,5,nearest,saturate,98.1,9
4,5,nearest,wrap,98.1,9
1,8,nearest,saturate,98.07,9
2,7,nearest,saturate,98.02,9
5,4,nearest,saturate,98.0,9
5,4,nearest,wrap,98.0,9
1,8,trunc,saturate,95.83,9
2,7,trunc,saturate,95.81,9
3,6,trunc,saturate,95.63,9
4,5,trunc,saturate,95.57,9
4,5,trunc,wrap,95.54,9
5,4,trunc,saturate,94.76,9
5,4,trunc,wrap,94.76,9
3,6,trunc,wrap,91.59,9
3,6,nearest,wrap,86.35,9
5,4,stochastic,saturate,46.33,9
5,4,stochastic,wrap,46.18,9
4,5,stochastic,saturate,46.01,9
1,8,stochastic,saturate,45.48,9
2,7,stochastic,saturate,45.24,9
3,6,stochastic,saturate,43.75,9
4,5,stochastic,wrap,40.92,9
3,6,stochastic,wrap,14.94,9
2,7,trunc,wrap,14.72,9
1,8,ceil,saturate,11.37,9
3,6,ceil,saturate,11.37,9
5,4,ceil,saturate,11.37,9
5,4,ceil,wrap,11.37,9
2,7,ceil,saturate,11.36,9
4,5,ceil,saturate,11.35,9
4,5,ceil,wrap,11.35,9
3,6,ceil,wrap,11.31,9
1,8,floor,wrap,10.33,9
1,8,trunc,wrap,10.27,9
1,8,nearest,wrap,10.17,9
2,7,floor,wrap,10.15,9
2,7,floor,saturate,9.99,9
1,8,floor,saturate,9.97,9
3,6,floor,saturate,9.93,9
4,5,floor,saturate,9.91,9
5,4,floor,saturate,9.88,9
1,8,stochastic,wrap,9.79,9
1,8,ceil,wrap,9.69,9
5,4,floor,wrap,9.31,9
4,5,floor,wrap,8.99,9
2,7,nearest,wrap,7.9,9
2,7,ceil,wrap,7.12,9
2,7,stochastic,wrap,6.51,9
3,6,floor,wrap,4.53,9
2,8,nearest,saturate,98.06,10
3,7,nearest,saturate,98.05,10
5,5,nearest,saturate,98.05,10
5,5,nearest,wrap,98.05,10
4,6,nearest,saturate,97.98,10
4,6,nearest,wrap,97.97,10
3,7,trunc,saturate,95.87,10
2,8,trunc,saturate,95.77,10
4,6,trunc,wrap,95.69,10
4,6,trunc,saturate,95.67,10
5,5,trunc,saturate,95.44,10
5,5,trunc,wrap,95.44,10
3,7,trunc,wrap,91.67,10
3,7,nearest,wrap,86.27,10
4,6,stochastic,saturate,46.24,10
5,5,stochastic,saturate,44.37,10
2,8,stochastic,saturate,44.33,10
5,5,stochastic,wrap,44.05,10
3,7,stochastic,saturate,42.91,10
4,6,stochastic,wrap,41.53,10
3,7,stochastic,wrap,15.18,10
2,8,trunc,wrap,15.06,10
3,7,ceil,saturate,11.37,10
2,8,ceil,saturate,11.36,10
4,6,ceil,saturate,11.36,10
5,5,ceil,saturate,11.36,10
4,6,ceil,wrap,11.36,10
5,5,ceil,wrap,11.36,10
3,7,ceil,wrap,11.34,10
2,8,floor,wrap,10.32,10
3,7,floor,saturate,10.02,10
2,8,floor,saturate,10.0,10
4,6,floor,saturate,9.97,10
5,5,floor,saturate,9.9,10
4,6,floor,wrap,9.28,10
5,5,floor,wrap,9.03,10
2,8,nearest,wrap,8.15,10
2,8,ceil,wrap,6.42,10
2,8,stochastic,wrap,6.39,10
3,7,floor,wrap,4.84,10
5,6,nearest,saturate,98.1,11
5,6,nearest,wrap,98.1,11
4,7,nearest,saturate,98.05,11
3,8,nearest,saturate,98.02,11
4,7,nearest,wrap,98.0,11
3,8,trunc,saturate,95.72,11
5,6,trunc,saturate,95.72,11
5,6,trunc,wrap,95.72,11
4,7,trunc,wrap,95.59,11
4,7,trunc,saturate,95.57,11
3,8,trunc,wrap,91.55,11
3,8,nearest,wrap,86.37,11
4,7,stochastic,saturate,45.63,11
5,6,stochastic,saturate,44.78,11
5,6,stochastic,wrap,44.41,11
3,8,stochastic,saturate,43.87,11
4,7,stochastic,wrap,40.39,11
3,8,stochastic,wrap,13.91,11
3,8,ceil,wrap,11.51,11
4,7,ceil,saturate,11.37,11
4,7,ceil,wrap,11.37,11
3,8,ceil,saturate,11.36,11
5,6,ceil,saturate,11.36,11
5,6,ceil,wrap,11.36,11
4,7,floor,saturate,10.03,11
3,8,floor,saturate,9.99,11
5,6,floor,saturate,9.95,11
4,7,floor,wrap,9.09,11
5,6,floor,wrap,9.03,11
3,8,floor,wrap,4.84,11
5,7,nearest,saturate,98.07,12
5,7,nearest,wrap,98.07,12
4,8,nearest,saturate,97.99,12
4,8,nearest,wrap,97.95,12
5,7,trunc,saturate,95.8,12
5,7,trunc,wrap,95.8,12
4,8,trunc,saturate,95.72,12
4,8,trunc,wrap,95.69,12
5,7,stochastic,saturate,47.28,12
5,7,stochastic,wrap,46.99,12
4,8,stochastic,saturate,46.19,12
4,8,stochastic,wrap,41.0,12
4,8,ceil,saturate,11.37,12
5,7,ceil,saturate,11.37,12
4,8,ceil,wrap,11.37,12
5,7,ceil,wrap,11.37,12
4,8,floor,saturate,9.97,12
5,7,floor,saturate,9.97,12
4,8,floor,wrap,9.49,12
5,7,floor,wrap,9.0,12
5,8,nearest,saturate,98.13,13
5,8,nearest,wrap,98.13,13
5,8,trunc,saturate,95.6,13
5,8,trunc,wrap,95.6,13
5,8,stochastic,saturate,44.7,13
5,8,stochastic,wrap,44.42,13
