m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.11
0,3,ceil,wrap,10.38
0,4,ceil,wrap,9.66
0,5,ceil,wrap,10.05
0,6,ceil,wrap,9.63
0,7,ceil,wrap,10.23
0,8,ceil,wrap,10.08
1,0,ceil,wrap,10.31
1,1,ceil,wrap,10.02
1,2,ceil,wrap,10.11
1,3,ceil,wrap,9.93
1,4,ceil,wrap,9.59
1,5,ceil,wrap,10.31
1,6,ceil,wrap,9.71
1,7,ceil,wrap,10.45
1,8,ceil,wrap,9.75
2,0,ceil,wrap,16.0
2,1,ceil,wrap,12.54
2,2,ceil,wrap,11.14
2,3,ceil,wrap,10.45
2,4,ceil,wrap,10.09
2,5,ceil,wrap,10.0
2,6,ceil,wrap,9.98
2,7,ceil,wrap,9.82
2,8,ceil,wrap,9.86
3,0,ceil,wrap,14.5
3,1,ceil,wrap,9.36
3,2,ceil,wrap,8.56
3,3,ceil,wrap,8.3
3,4,ceil,wrap,8.11
3,5,ceil,wrap,8.08
3,6,ceil,wrap,7.88
3,7,ceil,wrap,7.76
3,8,ceil,wrap,7.81
4,0,ceil,wrap,8.52
4,1,ceil,wrap,10.92
4,2,ceil,wrap,10.87
4,3,ceil,wrap,10.73
4,4,ceil,wrap,10.76
4,5,ceil,wrap,10.66
4,6,ceil,wrap,10.73
4,7,ceil,wrap,10.63
4,8,ceil,wrap,10.79
5,0,ceil,wrap,9.8
5,1,ceil,wrap,9.8
5,2,ceil,wrap,9.8
5,3,ceil,wrap,9.8
5,4,ceil,wrap,9.8
5,5,ceil,wrap,9.8
5,6,ceil,wrap,9.8
5,7,ceil,wrap,9.8
5,8,ceil,wrap,9.8
