m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,9.98
0,3,floor,wrap,10.18
0,4,floor,wrap,9.95
0,5,floor,wrap,10.99
0,6,floor,wrap,9.92
0,7,floor,wrap,9.86
0,8,floor,wrap,10.25
1,0,floor,wrap,9.78
1,1,floor,wrap,10.24
1,2,floor,wrap,10.48
1,3,floor,wrap,9.94
1,4,floor,wrap,9.91
1,5,floor,wrap,9.51
1,6,floor,wrap,10.1
1,7,floor,wrap,10.1
1,8,floor,wrap,10.11
2,0,floor,wrap,9.39
2,1,floor,wrap,9.0
2,2,floor,wrap,9.06
2,3,floor,wrap,9.32
2,4,floor,wrap,9.31
2,5,floor,wrap,9.46
2,6,floor,wrap,8.97
2,7,floor,wrap,9.31
2,8,floor,wrap,9.37
3,0,floor,wrap,7.82
3,1,floor,wrap,7.82
3,2,floor,wrap,7.9
3,3,floor,wrap,8.67
3,4,floor,wrap,9.33
3,5,floor,wrap,9.77
3,6,floor,wrap,9.85
3,7,floor,wrap,10.05
3,8,floor,wrap,9.83
4,0,floor,wrap,9.24
4,1,floor,wrap,9.31
4,2,floor,wrap,8.79
4,3,floor,wrap,9.47
4,4,floor,wrap,9.46
4,5,floor,wrap,9.95
4,6,floor,wrap,10.13
4,7,floor,wrap,9.84
4,8,floor,wrap,10.04
5,0,floor,wrap,9.79
5,1,floor,wrap,9.79
5,2,floor,wrap,9.71
5,3,floor,wrap,9.61
5,4,floor,wrap,9.52
5,5,floor,wrap,9.57
5,6,floor,wrap,9.57
5,7,floor,wrap,9.61
5,8,floor,wrap,9.58
