m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,9.79
0,3,floor,wrap,10.13
0,4,floor,wrap,9.82
0,5,floor,wrap,9.89
0,6,floor,wrap,9.82
0,7,floor,wrap,9.63
0,8,floor,wrap,9.99
1,0,floor,wrap,10.3
1,1,floor,wrap,10.43
1,2,floor,wrap,10.59
1,3,floor,wrap,9.55
1,4,floor,wrap,10.12
1,5,floor,wrap,10.2
1,6,floor,wrap,10.17
1,7,floor,wrap,10.03
1,8,floor,wrap,10.21
2,0,floor,wrap,7.95
2,1,floor,wrap,7.77
2,2,floor,wrap,8.36
2,3,floor,wrap,8.38
2,4,floor,wrap,8.82
2,5,floor,wrap,8.59
2,6,floor,wrap,8.75
2,7,floor,wrap,8.69
2,8,floor,wrap,8.6
3,0,floor,wrap,7.29
3,1,floor,wrap,7.14
3,2,floor,wrap,7.75
3,3,floor,wrap,8.07
3,4,floor,wrap,7.98
3,5,floor,wrap,8.15
3,6,floor,wrap,7.6
3,7,floor,wrap,7.89
3,8,floor,wrap,7.81
4,0,floor,wrap,6.66
4,1,floor,wrap,6.24
4,2,floor,wrap,6.78
4,3,floor,wrap,7.02
4,4,floor,wrap,7.07
4,5,floor,wrap,7.53
4,6,floor,wrap,7.51
4,7,floor,wrap,7.3
4,8,floor,wrap,7.21
5,0,floor,wrap,9.04
5,1,floor,wrap,9.16
5,2,floor,wrap,8.41
5,3,floor,wrap,8.37
5,4,floor,wrap,8.18
5,5,floor,wrap,8.15
5,6,floor,wrap,8.06
5,7,floor,wrap,8.15
5,8,floor,wrap,7.93
