m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,41.33
0,3,stochastic,saturate,41.9
0,4,stochastic,saturate,47.06
0,5,stochastic,saturate,46.7
0,6,stochastic,saturate,47.39
0,7,stochastic,saturate,45.92
0,8,stochastic,saturate,43.2
1,0,stochastic,saturate,49.39
1,1,stochastic,saturate,35.56
1,2,stochastic,saturate,41.47
1,3,stochastic,saturate,38.41
1,4,stochastic,saturate,45.99
1,5,stochastic,saturate,43.7
1,6,stochastic,saturate,46.58
1,7,stochastic,saturate,48.05
1,8,stochastic,saturate,46.89
2,0,stochastic,saturate,47.76
2,1,stochastic,saturate,36.74
2,2,stochastic,saturate,40.57
2,3,stochastic,saturate,43.93
2,4,stochastic,saturate,42.85
2,5,stochastic,saturate,43.38
2,6,stochastic,saturate,45.89
2,7,stochastic,saturate,47.37
2,8,stochastic,saturate,46.74
3,0,stochastic,saturate,50.07
3,1,stochastic,saturate,35.32
3,2,stochastic,saturate,44.17
3,3,stochastic,saturate,43.12
3,4,stochastic,saturate,47.32
3,5,stochastic,saturate,45.66
3,6,stochastic,saturate,43.0
3,7,stochastic,saturate,48.08
3,8,stochastic,saturate,47.32
4,0,stochastic,saturate,49.01
4,1,stochastic,saturate,34.45
4,2,stochastic,saturate,42.62
4,3,stochastic,saturate,42.41
4,4,stochastic,saturate,45.07
4,5,stochastic,saturate,43.3
4,6,stochastic,saturate,47.02
4,7,stochastic,saturate,47.36
4,8,stochastic,saturate,47.85
5,0,stochastic,saturate,47.65
5,1,stochastic,saturate,36.7
5,2,stochastic,saturate,40.31
5,3,stochastic,saturate,41.34
5,4,stochastic,saturate,41.37
5,5,stochastic,saturate,48.51
5,6,stochastic,saturate,49.66
5,7,stochastic,saturate,48.4
5,8,stochastic,saturate,45.54
