m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,9.66
0,3,stochastic,wrap,9.85
0,4,stochastic,wrap,10.39
0,5,stochastic,wrap,9.98
0,6,stochastic,wrap,10.4
0,7,stochastic,wrap,10.07
0,8,stochastic,wrap,10.11
1,0,stochastic,wrap,10.52
1,1,stochastic,wrap,10.01
1,2,stochastic,wrap,10.06
1,3,stochastic,wrap,9.76
1,4,stochastic,wrap,9.79
1,5,stochastic,wrap,9.89
1,6,stochastic,wrap,10.25
1,7,stochastic,wrap,10.24
1,8,stochastic,wrap,9.61
2,0,stochastic,wrap,8.43
2,1,stochastic,wrap,8.6
2,2,stochastic,wrap,8.35
2,3,stochastic,wrap,7.73
2,4,stochastic,wrap,7.77
2,5,stochastic,wrap,7.2
2,6,stochastic,wrap,7.01
2,7,stochastic,wrap,7.72
2,8,stochastic,wrap,7.51
3,0,stochastic,wrap,6.9
3,1,stochastic,wrap,6.15
3,2,stochastic,wrap,7.03
3,3,stochastic,wrap,7.71
3,4,stochastic,wrap,7.67
3,5,stochastic,wrap,7.19
3,6,stochastic,wrap,7.56
3,7,stochastic,wrap,7.87
3,8,stochastic,wrap,7.72
4,0,stochastic,wrap,37.01
4,1,stochastic,wrap,25.33
4,2,stochastic,wrap,32.46
4,3,stochastic,wrap,31.9
4,4,stochastic,wrap,34.47
4,5,stochastic,wrap,33.46
4,6,stochastic,wrap,35.52
4,7,stochastic,wrap,34.81
4,8,stochastic,wrap,37.14
5,0,stochastic,wrap,47.54
5,1,stochastic,wrap,36.57
5,2,stochastic,wrap,40.15
5,3,stochastic,wrap,41.38
5,4,stochastic,wrap,41.37
5,5,stochastic,wrap,48.45
5,6,stochastic,wrap,49.66
5,7,stochastic,wrap,48.06
5,8,stochastic,wrap,45.42
