m,n,rounding,overflow,acc,bits
0,0,floor,saturate,9.8,0
0,0,floor,wrap,9.8,0
0,0,ceil,saturate,9.8,0
0,0,ceil,wrap,9.8,0
0,0,trunc,saturate,9.8,0
0,0,trunc,wrap,9.8,0
0,0,nearest,saturate,9.8,0
0,0,nearest,wrap,9.8,0
0,0,stochastic,saturate,9.8,0
0,0,stochastic,wrap,9.8,0
1,0,nearest,saturate,98.61,1
1,0,stochastic,saturate,53.21,1
1,0,trunc,saturate,45.93,1
1,0,ceil,wrap,10.4,1
1,0,stochastic,wrap,10.38,1
1,0,ceil,saturate,10.31,1
1,0,floor,wrap,10.08,1
1,0,trunc,wrap,9.84,1
0,1,floor,saturate,9.8,1
1,0,floor,saturate,9.8,1
0,1,floor,wrap,9.8,1
0,1,ceil,saturate,9.8,1
0,1,ceil,wrap,9.8,1
0,1,trunc,saturate,9.8,1
0,1,trunc,wrap,9.8,1
0,1,nearest,saturate,9.8,1
0,1,nearest,wrap,9.8,1
0,1,stochastic,saturate,9.8,1
0,1,stochastic,wrap,9.8,1
1,0,nearest,wrap,9.73,1
2,0,nearest,saturate,98.61,2
0,2,nearest,saturate,98.6,2
1,1,nearest,saturate,98.54,2
0,2,trunc,saturate,94.32,2
1,1,trunc,saturate,57.75,2
2,0,stochastic,saturate,54.25,2
0,2,stochastic,saturate,48.01,2
2,0,trunc,saturate,45.78,2
1,1,stochastic,saturate,43.18,2
2,0,trunc,wrap,29.31,2
1,1,trunc,wrap,10.77,2
2,0,nearest,wrap,10.74,2
2,0,floor,wrap,10.62,2
0,2,floor,wrap,10.42,2
0,2,ceil,wrap,10.33,2
2,0,ceil,saturate,10.3,2
1,1,floor,wrap,10.22,2
1,1,nearest,wrap,9.98,2
0,2,stochastic,wrap,9.83,2
0,2,floor,saturate,9.81,2
1,1,floor,saturate,9.8,2
2,0,floor,saturate,9.8,2
0,2,ceil,saturate,9.8,2
1,1,ceil,saturate,9.79,2
0,2,nearest,wrap,9.79,2
1,1,ceil,wrap,9.71,2
0,2,trunc,wrap,9.67,2
1,1,stochastic,wrap,9.52,2
2,0,stochastic,wrap,9.41,2
2,0,ceil,wrap,6.03,2
0,3,nearest,saturate,98.59,3
1,2,nearest,saturate,98.59,3
2,1,nearest,saturate,98.56,3
3,0,nearest,saturate,98.5,3
0,3,trunc,saturate,97.09,3
1,2,trunc,saturate,94.46,3
3,0,nearest,wrap,88.02,3
2,1,trunc,saturate,57.85,3
3,0,stochastic,saturate,55.15,3
0,3,stochastic,saturate,51.12,3
3,0,trunc,wrap,50.75,3
1,2,stochastic,saturate,47.34,3
3,0,trunc,saturate,46.13,3
2,1,stochastic,saturate,43.21,3
2,1,trunc,wrap,19.68,3
3,0,stochastic,wrap,17.5,3
0,3,floor,wrap,10.79,3
1,2,stochastic,wrap,10.73,3
2,1,floor,wrap,10.59,3
0,3,trunc,wrap,10.48,3
3,0,ceil,saturate,10.27,3
1,2,nearest,wrap,10.22,3
1,2,floor,wrap,10.17,3
2,1,nearest,wrap,10.15,3
0,3,nearest,wrap,10.13,3
1,2,ceil,wrap,10.09,3
0,3,floor,saturate,9.82,3
1,2,floor,saturate,9.8,3
2,1,floor,saturate,9.8,3
3,0,floor,saturate,9.8,3
2,1,ceil,saturate,9.8,3
0,3,ceil,saturate,9.79,3
1,2,ceil,saturate,9.79,3
0,3,ceil,wrap,9.73,3
0,3,stochastic,wrap,9.61,3
1,2,trunc,wrap,9.51,3
2,1,stochastic,wrap,9.32,3
3,0,floor,wrap,8.77,3
2,1,ceil,wrap,8.22,3
3,0,ceil,wrap,7.51,3
1,3,nearest,saturate,98.68,4
4,0,nearest,wrap,98.65,4
0,4,nearest,saturate,98.64,4
4,0,nearest,saturate,98.64,4
2,2,nearest,saturate,98.6,4
3,1,nearest,saturate,98.56,4
0,4,trunc,saturate,97.65,4
1,3,trunc,saturate,97.24,4
2,2,trunc,saturate,94.53,4
3,1,nearest,wrap,88.23,4
3,1,trunc,wrap,60.4,4
3,1,trunc,saturate,57.97,4
0,4,stochastic,saturate,51.86,4
4,0,stochastic,saturate,51.71,4
2,2,stochastic,saturate,48.73,4
1,3,stochastic,saturate,47.45,4
4,0,stochastic,wrap,46.42,4
4,0,trunc,wrap,46.03,4
4,0,trunc,saturate,45.95,4
3,1,stochastic,saturate,43.44,4
3,1,stochastic,wrap,15.65,4
2,2,trunc,wrap,15.4,4
2,2,floor,wrap,10.55,4
1,3,floor,wrap,10.37,4
4,0,ceil,saturate,10.33,4
0,4,trunc,wrap,10.32,4
0,4,stochastic,wrap,10.16,4
0,4,floor,wrap,10.11,4
0,4,nearest,wrap,10.1,4
1,3,nearest,wrap,9.93,4
1,3,stochastic,wrap,9.92,4
0,4,ceil,wrap,9.85,4
0,4,floor,saturate,9.84,4
1,3,floor,saturate,9.82,4
2,2,floor,saturate,9.8,4
3,1,floor,saturate,9.8,4
4,0,floor,saturate,9.8,4
2,2,ceil,saturate,9.8,4
3,1,ceil,saturate,9.8,4
0,4,ceil,saturate,9.79,4
1,3,ceil,saturate,9.79,4
1,3,ceil,wrap,9.75,4
4,0,ceil,wrap,9.74,4
2,2,stochastic,wrap,9.55,4
3,1,ceil,wrap,8.82,4
2,2,nearest,wrap,8.77,4
1,3,trunc,wrap,8.75,4
3,1,floor,wrap,8.7,4
2,2,ceil,wrap,8.23,4
4,0,floor,wrap,7.32,4
2,3,nearest,saturate,98.64,5
1,4,nearest,saturate,98.62,5
5,0,nearest,saturate,98.61,5
5,0,nearest,wrap,98.61,5
0,5,nearest,saturate,98.6,5
4,1,nearest,wrap,98.55,5
4,1,nearest,saturate,98.53,5
3,2,nearest,saturate,98.46,5
0,5,trunc,saturate,97.79,5
1,4,trunc,saturate,97.65,5
2,3,trunc,saturate,97.02,5
3,2,trunc,saturate,94.39,5
3,2,trunc,wrap,92.14,5
3,2,nearest,wrap,82.89,5
4,1,trunc,wrap,57.83,5
4,1,trunc,saturate,57.71,5
0,5,stochastic,saturate,54.27,5
1,4,stochastic,saturate,53.92,5
5,0,stochastic,saturate,49.96,5
5,0,stochastic,wrap,49.9,5
3,2,stochastic,saturate,48.57,5
2,3,stochastic,saturate,48.15,5
5,0,trunc,saturate,45.87,5
5,0,trunc,wrap,45.87,5
4,1,stochastic,saturate,40.77,5
4,1,stochastic,wrap,36.14,5
3,2,stochastic,wrap,16.04,5
0,5,ceil,wrap,10.65,5
0,5,nearest,wrap,10.37,5
1,4,stochastic,wrap,10.36,5
0,5,stochastic,wrap,10.28,5
0,5,trunc,wrap,10.27,5
5,0,ceil,saturate,10.26,5
5,0,ceil,wrap,10.15,5
1,4,ceil,wrap,10.03,5
1,4,floor,wrap,10.0,5
1,4,trunc,wrap,9.91,5
1,4,nearest,wrap,9.89,5
0,5,floor,saturate,9.83,5
0,5,floor,wrap,9.83,5
1,4,floor,saturate,9.82,5
2,3,floor,saturate,9.82,5
3,2,floor,saturate,9.81,5
4,1,floor,saturate,9.8,5
5,0,floor,saturate,9.8,5
5,0,floor,wrap,9.8,5
1,4,ceil,saturate,9.8,5
2,3,ceil,saturate,9.8,5
4,1,ceil,saturate,9.8,5
0,5,ceil,saturate,9.79,5
3,2,ceil,saturate,9.79,5
4,1,ceil,wrap,9.56,5
2,3,trunc,wrap,9.46,5
2,3,floor,wrap,9.41,5
2,3,stochastic,wrap,9.38,5
3,2,floor,wrap,8.59,5
2,3,ceil,wrap,8.15,5
2,3,nearest,wrap,7.99,5
3,2,ceil,wrap,7.75,5
4,1,floor,wrap,7.37,5
2,4,nearest,saturate,98.64,6
0,6,nearest,saturate,98.63,6
3,3,nearest,saturate,98.62,6
4,2,nearest,saturate,98.59,6
4,2,nearest,wrap,98.59,6
1,5,nearest,saturate,98.56,6
5,1,nearest,saturate,98.56,6
5,1,nearest,wrap,98.56,6
0,6,trunc,saturate,97.83,6
1,5,trunc,saturate,97.79,6
2,4,trunc,saturate,97.52,6
3,3,trunc,saturate,97.21,6
3,3,trunc,wrap,94.58,6
4,2,trunc,wrap,94.32,6
4,2,trunc,saturate,94.27,6
3,3,nearest,wrap,79.85,6
5,1,trunc,saturate,57.66,6
5,1,trunc,wrap,57.66,6
1,5,stochastic,saturate,52.14,6
3,3,stochastic,saturate,51.6,6
2,4,stochastic,saturate,50.82,6
0,6,stochastic,saturate,49.8,6
4,2,stochastic,saturate,46.8,6
4,2,stochastic,wrap,42.62,6
5,1,stochastic,saturate,42.34,6
5,1,stochastic,wrap,42.12,6
3,3,stochastic,wrap,16.4,6
0,6,trunc,wrap,10.67,6
2,4,stochastic,wrap,10.35,6
0,6,floor,wrap,10.17,6
1,5,nearest,wrap,10.12,6
1,5,floor,wrap,9.99,6
0,6,stochastic,wrap,9.98,6
0,6,ceil,wrap,9.93,6
1,5,ceil,wrap,9.88,6
0,6,floor,saturate,9.85,6
2,4,floor,saturate,9.84,6
1,5,floor,saturate,9.83,6
3,3,floor,saturate,9.82,6
4,2,floor,saturate,9.81,6
2,4,ceil,saturate,9.81,6
5,1,floor,saturate,9.8,6
5,1,floor,wrap,9.8,6
0,6,ceil,saturate,9.8,6
1,5,ceil,saturate,9.8,6
5,1,ceil,wrap,9.8,6
3,3,ceil,saturate,9.79,6
4,2,ceil,saturate,9.79,6
5,1,ceil,saturate,9.79,6
2,4,floor,wrap,9.75,6
1,5,stochastic,wrap,9.72,6
0,6,nearest,wrap,9.71,6
4,2,ceil,wrap,9.56,6
1,5,trunc,wrap,9.4,6
3,3,floor,wrap,8.79,6
2,4,ceil,wrap,8.42,6
4,2,floor,wrap,7.48,6
2,4,nearest,wrap,7.44,6
3,3,ceil,wrap,7.43,6
2,4,trunc,wrap,7.39,6
3,4,nearest,saturate,98.67,7
4,3,nearest,saturate,98.64,7
5,2,nearest,saturate,98.64,7
5,2,nearest,wrap,98.64,7
4,3,nearest,wrap,98.62,7
1,6,nearest,saturate,98.61,7
2,5,nearest,saturate,98.59,7
0,7,nearest,saturate,98.56,7
0,7,trunc,saturate,97.83,7
1,6,trunc,saturate,97.75,7
2,5,trunc,saturate,97.74,7
3,4,trunc,saturate,97.6,7
4,3,trunc,wrap,97.14,7
4,3,trunc,saturate,97.12,7
3,4,trunc,wrap,94.91,7
5,2,trunc,saturate,94.33,7
5,2,trunc,wrap,94.33,7
3,4,nearest,wrap,78.02,7
3,4,stochastic,saturate,53.68,7
1,6,stochastic,saturate,53.44,7
2,5,stochastic,saturate,53.36,7
0,7,stochastic,saturate,50.47,7
4,3,stochastic,saturate,50.12,7
5,2,stochastic,saturate,47.25,7
5,2,stochastic,wrap,46.97,7
4,3,stochastic,wrap,46.15,7
3,4,stochastic,wrap,16.91,7
0,7,trunc,wrap,10.69,7
0,7,nearest,wrap,10.24,7
1,6,trunc,wrap,10.22,7
1,6,ceil,wrap,10.12,7
1,6,floor,wrap,10.06,7
0,7,floor,wrap,10.03,7
1,6,nearest,wrap,9.98,7
0,7,floor,saturate,9.87,7
1,6,stochastic,wrap,9.86,7
1,6,floor,saturate,9.84,7
2,5,floor,saturate,9.83,7
3,4,floor,saturate,9.83,7
4,3,floor,saturate,9.82,7
5,2,floor,saturate,9.81,7
0,7,ceil,saturate,9.8,7
1,6,ceil,saturate,9.8,7
3,4,ceil,saturate,9.8,7
4,3,ceil,saturate,9.8,7
5,2,ceil,wrap,9.8,7
2,5,ceil,saturate,9.79,7
5,2,ceil,saturate,9.79,7
5,2,floor,wrap,9.78,7
2,5,stochastic,wrap,9.75,7
4,3,ceil,wrap,9.6,7
0,7,stochastic,wrap,9.49,7
0,7,ceil,wrap,9.31,7
3,4,floor,wrap,9.22,7
2,5,floor,wrap,9.2,7
2,5,ceil,wrap,8.31,7
4,3,floor,wrap,7.52,7
3,4,ceil,wrap,7.16,7
2,5,nearest,wrap,7.11,7
2,5,trunc,wrap,6.17,7
2,6,nearest,saturate,98.71,8
5,3,nearest,saturate,98.65,8
5,3,nearest,wrap,98.65,8
1,7,nearest,saturate,98.64,8
0,8,nearest,saturate,98.62,8
3,5,nearest,saturate,98.62,8
4,4,nearest,saturate,98.61,8
4,4,nearest,wrap,98.61,8
1,7,trunc,saturate,97.9,8
2,6,trunc,saturate,97.82,8
0,8,trunc,saturate,97.71,8
3,5,trunc,saturate,97.7,8
4,4,trunc,saturate,97.57,8
4,4,trunc,wrap,97.57,8
5,3,trunc,saturate,97.28,8
5,3,trunc,wrap,97.28,8
3,5,trunc,wrap,94.95,8
3,5,nearest,wrap,77.21,8
0,8,stochastic,saturate,54.12,8
5,3,stochastic,saturate,54.07,8
5,3,stochastic,wrap,53.79,8
3,5,stochastic,saturate,52.21,8
4,4,stochastic,saturate,51.89,8
1,7,stochastic,saturate,51.54,8
2,6,stochastic,saturate,51.47,8
4,4,stochastic,wrap,46.97,8
3,5,stochastic,wrap,17.0,8
0,8,trunc,wrap,10.28,8
0,8,nearest,wrap,10.28,8
1,7,nearest,wrap,10.28,8
2,6,stochastic,wrap,10.28,8
0,8,stochastic,wrap,10.25,8
1,7,ceil,wrap,10.22,8
0,8,floor,wrap,10.14,8
0,8,ceil,wrap,10.06,8
1,7,floor,wrap,10.01,8
0,8,floor,saturate,9.87,8
1,7,floor,saturate,9.86,8
3,5,floor,saturate,9.86,8
2,6,floor,saturate,9.85,8
4,4,floor,saturate,9.82,8
5,3,floor,saturate,9.82,8
2,6,ceil,saturate,9.8,8
0,8,ceil,saturate,9.79,8
1,7,ceil,saturate,9.79,8
3,5,ceil,saturate,9.79,8
4,4,ceil,saturate,9.79,8
5,3,ceil,saturate,9.79,8
5,3,ceil,wrap,9.79,8
1,7,stochastic,wrap,9.79,8
1,7,trunc,wrap,9.65,8
5,3,floor,wrap,9.62,8
4,4,ceil,wrap,9.61,8
3,5,floor,wrap,9.17,8
2,6,floor,wrap,9.16,8
2,6,ceil,wrap,8.6,8
4,4,floor,wrap,7.89,8
2,6,nearest,wrap,7.56,8
3,5,ceil,wrap,7.21,8
2,6,trunc,wrap,5.89,8
2,7,nearest,saturate,98.67,9
5,4,nearest,saturate,98.67,9
5,4,nearest,wrap,98.67,9
1,8,nearest,saturate,98.59,9
3,6,nearest,saturate,98.59,9
4,5,nearest,saturate,98.52,9
4,5,nearest,wrap,98.51,9
3,6,trunc,saturate,97.85,9
4,5,trunc,wrap,97.85,9
1,8,trunc,saturate,97.84,9
4,5,trunc,saturate,97.82,9
2,7,trunc,saturate,97.79,9
5,4,trunc,saturate,97.61,9
5,4,trunc,wrap,97.61,9
3,6,trunc,wrap,95.02,9
3,6,nearest,wrap,76.65,9
2,7,stochastic,saturate,55.92,9
4,5,stochastic,saturate,53.68,9
1,8,stochastic,saturate,52.84,9
5,4,stochastic,saturate,52.11,9
5,4,stochastic,wrap,51.98,9
3,6,stochastic,saturate,51.59,9
4,5,stochastic,wrap,48.69,9
3,6,stochastic,wrap,16.97,9
1,8,stochastic,wrap,10.3,9
1,8,ceil,wrap,10.1,9
1,8,floor,wrap,10.08,9
1,8,floor,saturate,9.86,9
2,7,floor,saturate,9.86,9
3,6,floor,saturate,9.85,9
4,5,floor,saturate,9.85,9
5,4,floor,saturate,9.83,9
1,8,nearest,wrap,9.81,9
3,6,ceil,saturate,9.8,9
4,5,ceil,saturate,9.8,9
5,4,ceil,saturate,9.8,9
5,4,ceil,wrap,9.8,9
1,8,ceil,saturate,9.79,9
2,7,ceil,saturate,9.79,9
4,5,ceil,wrap,9.58,9
2,7,stochastic,wrap,9.44,9
5,4,floor,wrap,9.41,9
1,8,trunc,wrap,9.41,9
2,7,floor,wrap,9.17,9
3,6,floor,wrap,8.84,9
2,7,ceil,wrap,8.42,9
4,5,floor,wrap,8.11,9
3,6,ceil,wrap,7.33,9
2,7,nearest,wrap,7.09,9
2,7,trunc,wrap,5.45,9
2,8,nearest,saturate,98.65,10
5,5,nearest,saturate,98.63,10
5,5,nearest,wrap,98.63,10
4,6,nearest,saturate,98.61,10
4,6,nearest,wrap,98.57,10
3,7,nearest,saturate,98.56,10
3,7,trunc,saturate,97.9,10
2,8,trunc,saturate,97.86,10
4,6,trunc,saturate,97.82,10
4,6,trunc,wrap,97.82,10
5,5,trunc,saturate,97.81,10
5,5,trunc,wrap,97.81,10
3,7,trunc,wrap,95.06,10
3,7,nearest,wrap,76.65,10
3,7,stochastic,saturate,54.79,10
4,6,stochastic,saturate,53.9,10
2,8,stochastic,saturate,52.51,10
5,5,stochastic,saturate,51.47,10
5,5,stochastic,wrap,51.23,10
4,6,stochastic,wrap,48.34,10
3,7,stochastic,wrap,16.75,10
2,8,stochastic,wrap,10.45,10
2,8,floor,saturate,9.84,10
3,7,floor,saturate,9.84,10
4,6,floor,saturate,9.83,10
5,5,floor,saturate,9.83,10
2,8,ceil,saturate,9.8,10
5,5,ceil,saturate,9.8,10
5,5,ceil,wrap,9.8,10
3,7,ceil,saturate,9.79,10
4,6,ceil,saturate,9.79,10
4,6,ceil,wrap,9.58,10
3,7,floor,wrap,9.22,10
5,5,floor,wrap,9.18,10
2,8,floor,wrap,9.13,10
2,8,ceil,wrap,8.73,10
4,6,floor,wrap,7.98,10
3,7,ceil,wrap,7.52,10
2,8,nearest,wrap,7.11,10
2,8,trunc,wrap,5.3,10
3,8,nearest,saturate,98.63,11
5,6,nearest,saturate,98.58,11
5,6,nearest,wrap,98.58,11
4,7,nearest,saturate,98.57,11
4,7,nearest,wrap,98.56,11
5,6,trunc,saturate,97.89,11
5,6,trunc,wrap,97.89,11
4,7,trunc,wrap,97.79,11
3,8,trunc,saturate,97.75,11
4,7,trunc,saturate,97.75,11
3,8,trunc,wrap,94.85,11
3,8,nearest,wrap,76.81,11
5,6,stochastic,saturate,53.57,11
5,6,stochastic,wrap,53.35,11
4,7,stochastic,saturate,51.98,11
3,8,stochastic,saturate,51.79,11
4,7,stochastic,wrap,48.14,11
3,8,stochastic,wrap,16.47,11
3,8,floor,saturate,9.88,11
4,7,floor,saturate,9.85,11
5,6,floor,saturate,9.85,11
4,7,ceil,saturate,9.8,11
5,6,ceil,saturate,9.8,11
5,6,ceil,wrap,9.8,11
3,8,ceil,saturate,9.79,11
4,7,ceil,wrap,9.57,11
3,8,floor,wrap,9.32,11
5,6,floor,wrap,9.25,11
4,7,floor,wrap,8.32,11
3,8,ceil,wrap,7.53,11
5,7,nearest,saturate,98.57,12
5,7,nearest,wrap,98.57,12
4,8,nearest,wrap,98.54,12
4,8,nearest,saturate,98.51,12
4,8,trunc,saturate,97.91,12
5,7,trunc,saturate,97.91,12
4,8,trunc,wrap,97.91,12
5,7,trunc,wrap,97.91,12
5,7,stochastic,saturate,53.8,12
5,7,stochastic,wrap,53.38,12
4,8,stochastic,saturate,50.63,12
4,8,stochastic,wrap,46.59,12
5,7,floor,saturate,9.87,12
4,8,floor,saturate,9.85,12
5,7,ceil,wrap,9.81,12
4,8,ceil,saturate,9.8,12
5,7,ceil,saturate,9.8,12
4,8,ceil,wrap,9.59,12
5,7,floor,wrap,9.21,12
4,8,floor,wrap,8.02,12
5,8,nearest,saturate,98.63,13
5,8,nearest,wrap,98.63,13
5,8,trunc,saturate,97.8,13
5,8,trunc,wrap,97.8,13
5,8,stochastic,saturate,52.53,13
5,8,stochastic,wrap,52.18,13
