m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,14.15
0,3,ceil,saturate,14.09
0,4,ceil,saturate,14.22
0,5,ceil,saturate,14.15
0,6,ceil,saturate,14.11
0,7,ceil,saturate,14.26
0,8,ceil,saturate,14.28
1,0,ceil,saturate,10.24
1,1,ceil,saturate,14.24
1,2,ceil,saturate,14.25
1,3,ceil,saturate,14.08
1,4,ceil,saturate,14.11
1,5,ceil,saturate,14.08
1,6,ceil,saturate,14.32
1,7,ceil,saturate,14.3
1,8,ceil,saturate,14.37
2,0,ceil,saturate,10.39
2,1,ceil,saturate,14.08
2,2,ceil,saturate,14.3
2,3,ceil,saturate,14.22
2,4,ceil,saturate,14.21
2,5,ceil,saturate,14.15
2,6,ceil,saturate,14.15
2,7,ceil,saturate,14.21
2,8,ceil,saturate,14.2
3,0,ceil,saturate,10.37
3,1,ceil,saturate,14.18
3,2,ceil,saturate,14.24
3,3,ceil,saturate,14.25
3,4,ceil,saturate,14.19
3,5,ceil,saturate,14.18
3,6,ceil,saturate,14.2
3,7,ceil,saturate,14.25
3,8,ceil,saturate,14.15
4,0,ceil,saturate,10.34
4,1,ceil,saturate,14.21
4,2,ceil,saturate,14.14
4,3,ceil,saturate,14.18
4,4,ceil,saturate,14.25
4,5,ceil,saturate,14.07
4,6,ceil,saturate,14.2
4,7,ceil,saturate,14.24
4,8,ceil,saturate,14.17
5,0,ceil,saturate,10.33
5,1,ceil,saturate,14.13
5,2,ceil,saturate,14.13
5,3,ceil,saturate,14.12
5,4,ceil,saturate,14.18
5,5,ceil,saturate,14.12
5,6,ceil,saturate,14.26
5,7,ceil,saturate,14.23
5,8,ceil,saturate,14.25
