m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,9.81
0,3,floor,saturate,9.82
0,4,floor,saturate,9.88
0,5,floor,saturate,9.89
0,6,floor,saturate,9.9
0,7,floor,saturate,9.89
0,8,floor,saturate,9.91
1,0,floor,saturate,9.8
1,1,floor,saturate,9.8
1,2,floor,saturate,9.8
1,3,floor,saturate,9.85
1,4,floor,saturate,9.85
1,5,floor,saturate,9.9
1,6,floor,saturate,9.88
1,7,floor,saturate,9.88
1,8,floor,saturate,9.9
2,0,floor,saturate,9.8
2,1,floor,saturate,9.8
2,2,floor,saturate,9.82
2,3,floor,saturate,9.84
2,4,floor,saturate,9.87
2,5,floor,saturate,9.86
2,6,floor,saturate,9.91
2,7,floor,saturate,9.9
2,8,floor,saturate,9.89
3,0,floor,saturate,9.8
3,1,floor,saturate,9.8
3,2,floor,saturate,9.81
3,3,floor,saturate,9.85
3,4,floor,saturate,9.85
3,5,floor,saturate,9.9
3,6,floor,saturate,9.95
3,7,floor,saturate,9.89
3,8,floor,saturate,9.92
4,0,floor,saturate,9.8
4,1,floor,saturate,9.81
4,2,floor,saturate,9.81
4,3,floor,saturate,9.83
4,4,floor,saturate,9.87
4,5,floor,saturate,9.88
4,6,floor,saturate,9.88
4,7,floor,saturate,9.89
4,8,floor,saturate,9.87
5,0,floor,saturate,9.8
5,1,floor,saturate,9.8
5,2,floor,saturate,9.83
5,3,floor,saturate,9.86
5,4,floor,saturate,9.86
5,5,floor,saturate,9.85
5,6,floor,saturate,9.91
5,7,floor,saturate,9.86
5,8,floor,saturate,9.89
