m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,95.9
0,3,trunc,saturate,97.27
0,4,trunc,saturate,97.65
0,5,trunc,saturate,97.65
0,6,trunc,saturate,97.71
0,7,trunc,saturate,97.81
0,8,trunc,saturate,97.77
1,0,trunc,saturate,81.07
1,1,trunc,saturate,85.14
1,2,trunc,saturate,95.82
1,3,trunc,saturate,97.18
1,4,trunc,saturate,97.68
1,5,trunc,saturate,97.73
1,6,trunc,saturate,97.72
1,7,trunc,saturate,97.75
1,8,trunc,saturate,97.79
2,0,trunc,saturate,81.19
2,1,trunc,saturate,85.46
2,2,trunc,saturate,95.97
2,3,trunc,saturate,97.11
2,4,trunc,saturate,97.54
2,5,trunc,saturate,97.72
2,6,trunc,saturate,97.73
2,7,trunc,saturate,97.7
2,8,trunc,saturate,97.68
3,0,trunc,saturate,81.43
3,1,trunc,saturate,84.86
3,2,trunc,saturate,96.03
3,3,trunc,saturate,97.28
3,4,trunc,saturate,97.51
3,5,trunc,saturate,97.74
3,6,trunc,saturate,97.83
3,7,trunc,saturate,97.78
3,8,trunc,saturate,97.71
4,0,trunc,saturate,80.87
4,1,trunc,saturate,85.28
4,2,trunc,saturate,95.83
4,3,trunc,saturate,97.27
4,4,trunc,saturate,97.62
4,5,trunc,saturate,97.7
4,6,trunc,saturate,97.63
4,7,trunc,saturate,97.7
4,8,trunc,saturate,97.78
5,0,trunc,saturate,80.6
5,1,trunc,saturate,85.21
5,2,trunc,saturate,95.85
5,3,trunc,saturate,97.09
5,4,trunc,saturate,97.58
5,5,trunc,saturate,97.71
5,6,trunc,saturate,97.65
5,7,trunc,saturate,97.77
5,8,trunc,saturate,97.68
