m,n,rounding,overflow,acc
5,8,ceil,saturate,97.89
5,7,ceil,saturate,97.85
2,5,ceil,saturate,97.8
3,5,ceil,saturate,97.79
3,6,ceil,saturate,97.78
4,7,ceil,saturate,97.76
3,7,ceil,saturate,97.75
5,4,ceil,saturate,97.75
5,6,ceil,saturate,97.74
5,3,ceil,saturate,97.73
4,5,ceil,saturate,97.73
4,3,ceil,saturate,97.73
4,4,ceil,saturate,97.73
2,4,ceil,saturate,97.73
5,5,ceil,saturate,97.73
3,8,ceil,saturate,97.72
4,6,ceil,saturate,97.72
3,4,ceil,saturate,97.71
4,8,ceil,saturate,97.69
2,6,ceil,saturate,97.69
2,3,ceil,saturate,97.68
3,3,ceil,saturate,97.65
2,7,ceil,saturate,97.65
2,8,ceil,saturate,97.51
1,7,ceil,saturate,90.0
1,4,ceil,saturate,89.99
1,8,ceil,saturate,89.93
1,5,ceil,saturate,89.92
1,6,ceil,saturate,89.92
1,3,ceil,saturate,89.29
0,6,ceil,saturate,48.54
0,4,ceil,saturate,48.48
0,8,ceil,saturate,48.24
0,7,ceil,saturate,48.21
0,5,ceil,saturate,47.9
0,3,ceil,saturate,42.72
0,2,ceil,saturate,14.0
1,2,ceil,saturate,9.99
2,2,ceil,saturate,9.8
2,1,ceil,saturate,9.8
2,0,ceil,saturate,9.8
1,1,ceil,saturate,9.8
1,0,ceil,saturate,9.8
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
3,0,ceil,saturate,9.8
4,1,ceil,saturate,9.8
4,0,ceil,saturate,9.8
3,1,ceil,saturate,9.8
3,2,ceil,saturate,9.8
5,0,ceil,saturate,9.8
4,2,ceil,saturate,9.8
5,1,ceil,saturate,9.8
5,2,ceil,saturate,9.8
