m,n,rounding,overflow,acc
4,6,nearest,saturate,97.9
4,4,nearest,saturate,97.85
4,3,nearest,saturate,97.83
4,7,nearest,saturate,97.8
4,8,nearest,saturate,97.77
3,6,nearest,saturate,97.76
4,5,nearest,saturate,97.76
2,6,nearest,saturate,97.75
3,8,nearest,saturate,97.75
2,8,nearest,saturate,97.74
3,4,nearest,saturate,97.74
5,6,nearest,saturate,97.72
2,4,nearest,saturate,97.72
5,3,nearest,saturate,97.72
5,8,nearest,saturate,97.72
3,7,nearest,saturate,97.7
2,3,nearest,saturate,97.7
3,5,nearest,saturate,97.69
5,4,nearest,saturate,97.69
5,7,nearest,saturate,97.69
2,5,nearest,saturate,97.67
3,3,nearest,saturate,97.64
5,5,nearest,saturate,97.62
2,7,nearest,saturate,97.57
1,7,nearest,saturate,90.34
1,6,nearest,saturate,90.2
1,5,nearest,saturate,90.1
1,8,nearest,saturate,90.1
1,4,nearest,saturate,90.03
1,3,nearest,saturate,89.29
4,2,nearest,saturate,78.34
3,2,nearest,saturate,77.88
5,2,nearest,saturate,77.88
2,2,nearest,saturate,77.76
1,2,nearest,saturate,72.79
0,5,nearest,saturate,48.5
0,8,nearest,saturate,48.31
0,6,nearest,saturate,48.22
0,7,nearest,saturate,48.03
0,4,nearest,saturate,47.89
0,3,nearest,saturate,42.29
0,2,nearest,saturate,26.36
1,1,nearest,saturate,25.9
4,1,nearest,saturate,24.94
5,1,nearest,saturate,24.76
3,1,nearest,saturate,24.69
2,1,nearest,saturate,24.61
1,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,0,nearest,saturate,9.8
2,0,nearest,saturate,9.8
3,0,nearest,saturate,9.8
4,0,nearest,saturate,9.8
5,0,nearest,saturate,9.8
