m,n,rounding,overflow,acc
3,3,trunc,saturate,97.92
3,6,trunc,saturate,97.82
4,4,trunc,saturate,97.81
3,5,trunc,saturate,97.81
5,4,trunc,saturate,97.81
5,7,trunc,saturate,97.8
3,7,trunc,saturate,97.8
5,8,trunc,saturate,97.79
4,7,trunc,saturate,97.78
2,6,trunc,saturate,97.78
4,6,trunc,saturate,97.77
2,4,trunc,saturate,97.76
3,4,trunc,saturate,97.75
5,6,trunc,saturate,97.74
4,3,trunc,saturate,97.74
3,8,trunc,saturate,97.73
2,3,trunc,saturate,97.72
5,5,trunc,saturate,97.72
2,8,trunc,saturate,97.72
2,7,trunc,saturate,97.69
5,3,trunc,saturate,97.68
4,5,trunc,saturate,97.68
4,8,trunc,saturate,97.68
2,5,trunc,saturate,97.66
1,5,trunc,saturate,90.18
1,7,trunc,saturate,90.14
1,6,trunc,saturate,90.09
1,8,trunc,saturate,90.05
1,4,trunc,saturate,89.91
1,3,trunc,saturate,89.4
0,5,trunc,saturate,48.48
0,4,trunc,saturate,48.43
0,7,trunc,saturate,48.35
0,8,trunc,saturate,48.32
0,6,trunc,saturate,48.14
0,3,trunc,saturate,42.42
2,2,trunc,saturate,22.15
5,2,trunc,saturate,22.11
3,2,trunc,saturate,21.84
4,2,trunc,saturate,21.76
1,2,trunc,saturate,19.76
0,2,trunc,saturate,14.11
0,1,trunc,saturate,9.8
0,0,trunc,saturate,9.8
1,0,trunc,saturate,9.8
1,1,trunc,saturate,9.8
2,0,trunc,saturate,9.8
2,1,trunc,saturate,9.8
3,0,trunc,saturate,9.8
3,1,trunc,saturate,9.8
4,1,trunc,saturate,9.8
4,0,trunc,saturate,9.8
5,0,trunc,saturate,9.8
5,1,trunc,saturate,9.8
