m,n,rounding,overflow,acc
5,7,ceil,wrap,98.04
5,8,ceil,wrap,98.03
4,8,ceil,wrap,98.02
5,4,ceil,wrap,98.02
5,5,ceil,wrap,98.01
4,6,ceil,wrap,98.01
5,6,ceil,wrap,98.01
4,4,ceil,wrap,97.99
4,5,ceil,wrap,97.97
4,7,ceil,wrap,97.94
4,3,ceil,wrap,97.9
5,3,ceil,wrap,97.86
3,3,ceil,wrap,86.96
3,6,ceil,wrap,86.49
3,7,ceil,wrap,86.48
3,8,ceil,wrap,86.45
3,5,ceil,wrap,86.44
3,4,ceil,wrap,86.43
4,0,ceil,wrap,18.36
4,1,ceil,wrap,14.15
3,2,ceil,wrap,11.48
5,2,ceil,wrap,11.44
4,2,ceil,wrap,11.42
1,4,ceil,wrap,10.89
0,6,ceil,wrap,10.75
1,3,ceil,wrap,10.66
3,0,ceil,wrap,10.39
2,1,ceil,wrap,10.24
1,2,ceil,wrap,10.19
0,4,ceil,wrap,10.18
1,8,ceil,wrap,10.14
5,0,ceil,wrap,10.1
1,7,ceil,wrap,10.1
1,1,ceil,wrap,10.08
0,2,ceil,wrap,10.07
3,1,ceil,wrap,10.07
1,0,ceil,wrap,10.06
0,8,ceil,wrap,10.04
1,6,ceil,wrap,10.02
2,0,ceil,wrap,10.02
0,5,ceil,wrap,9.88
0,3,ceil,wrap,9.86
0,1,ceil,wrap,9.8
0,0,ceil,wrap,9.8
5,1,ceil,wrap,9.8
1,5,ceil,wrap,9.8
0,7,ceil,wrap,9.4
2,3,ceil,wrap,8.7
2,4,ceil,wrap,8.16
2,8,ceil,wrap,8.08
2,5,ceil,wrap,8.07
2,7,ceil,wrap,8.0
2,6,ceil,wrap,7.9
2,2,ceil,wrap,7.44
