m,n,rounding,overflow,acc
5,7,trunc,wrap,98.11
4,3,trunc,wrap,98.05
5,3,trunc,wrap,98.04
5,6,trunc,wrap,98.03
5,4,trunc,wrap,98.01
5,8,trunc,wrap,98.01
4,4,trunc,wrap,98.0
4,5,trunc,wrap,97.97
4,6,trunc,wrap,97.95
5,5,trunc,wrap,97.93
4,7,trunc,wrap,97.92
4,8,trunc,wrap,97.87
3,3,trunc,wrap,87.14
3,4,trunc,wrap,86.74
3,5,trunc,wrap,86.73
3,6,trunc,wrap,86.47
3,8,trunc,wrap,86.41
3,7,trunc,wrap,86.25
3,2,trunc,wrap,18.15
4,2,trunc,wrap,17.7
5,2,trunc,wrap,17.67
2,2,trunc,wrap,15.02
1,6,trunc,wrap,10.23
1,8,trunc,wrap,10.17
0,7,trunc,wrap,10.12
0,6,trunc,wrap,10.1
0,4,trunc,wrap,10.09
1,4,trunc,wrap,10.06
1,3,trunc,wrap,10.01
0,8,trunc,wrap,9.98
0,5,trunc,wrap,9.91
3,1,trunc,wrap,9.83
5,1,trunc,wrap,9.83
2,1,trunc,wrap,9.83
4,1,trunc,wrap,9.83
1,1,trunc,wrap,9.82
1,5,trunc,wrap,9.81
0,1,trunc,wrap,9.8
3,0,trunc,wrap,9.8
4,0,trunc,wrap,9.8
5,0,trunc,wrap,9.8
2,0,trunc,wrap,9.8
1,0,trunc,wrap,9.8
0,0,trunc,wrap,9.8
1,7,trunc,wrap,9.78
0,3,trunc,wrap,9.53
0,2,trunc,wrap,9.18
1,2,trunc,wrap,8.84
2,3,trunc,wrap,8.33
2,5,trunc,wrap,8.25
2,4,trunc,wrap,8.07
2,7,trunc,wrap,7.98
2,6,trunc,wrap,7.82
2,8,trunc,wrap,7.56
