m,n,rounding,overflow,acc
5,4,ceil,wrap,98.37
4,7,ceil,wrap,98.35
5,5,ceil,wrap,98.34
4,5,ceil,wrap,98.32
4,6,ceil,wrap,98.32
5,8,ceil,wrap,98.31
4,3,ceil,wrap,98.31
5,7,ceil,wrap,98.3
5,6,ceil,wrap,98.29
4,4,ceil,wrap,98.28
4,8,ceil,wrap,98.27
5,3,ceil,wrap,98.25
3,3,ceil,wrap,94.76
3,4,ceil,wrap,94.62
3,6,ceil,wrap,94.59
3,7,ceil,wrap,94.58
3,5,ceil,wrap,94.53
3,8,ceil,wrap,94.46
4,0,ceil,wrap,13.97
4,1,ceil,wrap,13.46
3,1,ceil,wrap,11.17
1,5,ceil,wrap,10.54
0,5,ceil,wrap,10.39
0,4,ceil,wrap,10.32
1,1,ceil,wrap,10.22
1,7,ceil,wrap,10.15
0,7,ceil,wrap,10.11
2,0,ceil,wrap,10.11
1,0,ceil,wrap,10.09
1,8,ceil,wrap,9.99
1,6,ceil,wrap,9.89
2,1,ceil,wrap,9.88
0,3,ceil,wrap,9.88
0,6,ceil,wrap,9.85
1,4,ceil,wrap,9.82
5,1,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,0,ceil,wrap,9.8
5,2,ceil,wrap,9.8
4,2,ceil,wrap,9.74
0,8,ceil,wrap,9.7
0,2,ceil,wrap,9.7
3,0,ceil,wrap,9.5
1,3,ceil,wrap,9.18
1,2,ceil,wrap,9.14
3,2,ceil,wrap,6.44
2,2,ceil,wrap,6.26
5,0,ceil,wrap,6.2
2,7,ceil,wrap,4.11
2,8,ceil,wrap,4.05
2,4,ceil,wrap,3.87
2,3,ceil,wrap,3.79
2,6,ceil,wrap,3.78
2,5,ceil,wrap,3.73
