m,n,rounding,overflow,acc
4,3,stochastic,wrap,98.36
4,7,stochastic,wrap,98.35
4,5,stochastic,wrap,98.33
4,8,stochastic,wrap,98.3
5,6,stochastic,wrap,98.3
5,7,stochastic,wrap,98.3
5,4,stochastic,wrap,98.29
5,5,stochastic,wrap,98.28
5,8,stochastic,wrap,98.28
5,3,stochastic,wrap,98.27
4,4,stochastic,wrap,98.22
4,6,stochastic,wrap,98.22
3,7,stochastic,wrap,94.75
3,4,stochastic,wrap,94.69
3,6,stochastic,wrap,94.67
3,8,stochastic,wrap,94.61
3,5,stochastic,wrap,94.53
3,3,stochastic,wrap,94.51
5,2,stochastic,wrap,61.41
4,2,stochastic,wrap,42.92
3,2,stochastic,wrap,19.42
5,1,stochastic,wrap,19.35
5,0,stochastic,wrap,11.56
4,0,stochastic,wrap,11.34
2,2,stochastic,wrap,11.3
4,1,stochastic,wrap,11.09
3,1,stochastic,wrap,11.0
2,1,stochastic,wrap,10.26
0,3,stochastic,wrap,10.25
0,2,stochastic,wrap,10.18
1,4,stochastic,wrap,10.15
0,6,stochastic,wrap,10.12
0,7,stochastic,wrap,10.1
3,0,stochastic,wrap,10.09
1,8,stochastic,wrap,10.0
2,0,stochastic,wrap,9.97
1,7,stochastic,wrap,9.95
1,6,stochastic,wrap,9.91
0,8,stochastic,wrap,9.86
0,5,stochastic,wrap,9.86
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
1,3,stochastic,wrap,9.73
1,5,stochastic,wrap,9.71
1,0,stochastic,wrap,9.67
1,1,stochastic,wrap,9.61
1,2,stochastic,wrap,9.57
0,4,stochastic,wrap,9.32
2,4,stochastic,wrap,4.21
2,6,stochastic,wrap,3.94
2,7,stochastic,wrap,3.92
2,3,stochastic,wrap,3.91
2,5,stochastic,wrap,3.76
2,8,stochastic,wrap,3.62
