m,n,rounding,overflow,acc
4,3,ceil,saturate,98.39
3,6,ceil,saturate,98.36
5,6,ceil,saturate,98.36
3,5,ceil,saturate,98.33
4,7,ceil,saturate,98.33
5,3,ceil,saturate,98.32
3,7,ceil,saturate,98.31
3,4,ceil,saturate,98.3
5,7,ceil,saturate,98.3
4,5,ceil,saturate,98.29
4,4,ceil,saturate,98.28
5,4,ceil,saturate,98.26
3,8,ceil,saturate,98.26
5,5,ceil,saturate,98.24
4,6,ceil,saturate,98.24
4,8,ceil,saturate,98.21
3,3,ceil,saturate,98.18
5,8,ceil,saturate,98.17
2,8,ceil,saturate,98.16
2,6,ceil,saturate,98.15
2,5,ceil,saturate,98.12
2,7,ceil,saturate,98.11
2,3,ceil,saturate,98.06
2,4,ceil,saturate,98.02
1,4,ceil,saturate,91.4
1,8,ceil,saturate,91.35
1,6,ceil,saturate,91.25
1,5,ceil,saturate,91.08
1,7,ceil,saturate,91.07
1,3,ceil,saturate,90.55
0,7,ceil,saturate,48.12
0,5,ceil,saturate,47.97
0,4,ceil,saturate,47.94
0,6,ceil,saturate,47.82
0,8,ceil,saturate,47.8
0,3,ceil,saturate,42.57
0,2,ceil,saturate,13.44
4,2,ceil,saturate,12.02
5,2,ceil,saturate,11.98
3,2,ceil,saturate,11.95
2,2,ceil,saturate,11.68
1,2,ceil,saturate,11.2
0,1,ceil,saturate,9.8
0,0,ceil,saturate,9.8
1,0,ceil,saturate,9.8
1,1,ceil,saturate,9.8
2,0,ceil,saturate,9.8
2,1,ceil,saturate,9.8
3,0,ceil,saturate,9.8
3,1,ceil,saturate,9.8
4,1,ceil,saturate,9.8
4,0,ceil,saturate,9.8
5,0,ceil,saturate,9.8
5,1,ceil,saturate,9.8
