m,n,rounding,overflow,acc
5,6,trunc,saturate,98.39
5,4,trunc,saturate,98.38
4,3,trunc,saturate,98.37
3,3,trunc,saturate,98.35
4,6,trunc,saturate,98.35
3,4,trunc,saturate,98.34
3,6,trunc,saturate,98.33
4,4,trunc,saturate,98.32
4,8,trunc,saturate,98.31
5,5,trunc,saturate,98.31
3,7,trunc,saturate,98.3
5,3,trunc,saturate,98.29
4,5,trunc,saturate,98.25
2,3,trunc,saturate,98.24
4,7,trunc,saturate,98.23
5,7,trunc,saturate,98.23
5,8,trunc,saturate,98.23
2,7,trunc,saturate,98.21
2,8,trunc,saturate,98.19
3,5,trunc,saturate,98.19
2,4,trunc,saturate,98.15
3,8,trunc,saturate,98.13
2,6,trunc,saturate,98.09
2,5,trunc,saturate,98.06
1,7,trunc,saturate,91.32
1,4,trunc,saturate,91.23
1,5,trunc,saturate,91.22
1,6,trunc,saturate,91.1
1,8,trunc,saturate,91.05
1,3,trunc,saturate,90.71
0,4,trunc,saturate,48.54
0,8,trunc,saturate,48.09
0,6,trunc,saturate,48.07
0,5,trunc,saturate,47.92
0,7,trunc,saturate,47.92
0,3,trunc,saturate,42.27
5,2,trunc,saturate,16.59
3,2,trunc,saturate,16.56
2,2,trunc,saturate,16.32
4,2,trunc,saturate,16.32
1,2,trunc,saturate,15.79
0,2,trunc,saturate,14.0
1,1,trunc,saturate,9.93
2,1,trunc,saturate,9.92
3,1,trunc,saturate,9.92
4,1,trunc,saturate,9.9
5,1,trunc,saturate,9.9
1,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,0,trunc,saturate,9.8
2,0,trunc,saturate,9.8
3,0,trunc,saturate,9.8
4,0,trunc,saturate,9.8
5,0,trunc,saturate,9.8
