m,n,rounding,overflow,acc
3,8,floor,saturate,98.62
3,3,floor,saturate,98.59
4,5,floor,saturate,98.59
3,4,floor,saturate,98.59
5,3,floor,saturate,98.59
4,8,floor,saturate,98.58
5,8,floor,saturate,98.57
4,3,floor,saturate,98.56
3,5,floor,saturate,98.55
5,5,floor,saturate,98.54
5,4,floor,saturate,98.53
5,6,floor,saturate,98.53
2,3,floor,saturate,98.53
5,7,floor,saturate,98.52
4,4,floor,saturate,98.52
2,4,floor,saturate,98.51
2,6,floor,saturate,98.51
4,6,floor,saturate,98.51
3,6,floor,saturate,98.51
2,8,floor,saturate,98.5
4,7,floor,saturate,98.5
2,5,floor,saturate,98.48
3,7,floor,saturate,98.47
2,7,floor,saturate,98.44
1,8,floor,saturate,91.35
1,6,floor,saturate,91.29
1,7,floor,saturate,91.27
1,5,floor,saturate,91.26
1,4,floor,saturate,91.04
1,3,floor,saturate,90.85
0,6,floor,saturate,49.53
0,7,floor,saturate,49.34
0,4,floor,saturate,49.32
0,8,floor,saturate,49.28
0,5,floor,saturate,49.12
0,3,floor,saturate,45.25
0,2,floor,saturate,9.91
4,2,floor,saturate,9.85
2,2,floor,saturate,9.84
3,2,floor,saturate,9.83
5,2,floor,saturate,9.83
1,2,floor,saturate,9.82
0,1,floor,saturate,9.8
0,0,floor,saturate,9.8
1,0,floor,saturate,9.8
1,1,floor,saturate,9.8
2,0,floor,saturate,9.8
2,1,floor,saturate,9.8
3,0,floor,saturate,9.8
3,1,floor,saturate,9.8
4,1,floor,saturate,9.8
4,0,floor,saturate,9.8
5,0,floor,saturate,9.8
5,1,floor,saturate,9.8
