m,n,rounding,overflow,acc
4,4,floor,wrap,98.65
4,7,floor,wrap,98.6
5,3,floor,wrap,98.57
5,8,floor,wrap,98.56
4,8,floor,wrap,98.55
4,6,floor,wrap,98.53
5,7,floor,wrap,98.53
5,6,floor,wrap,98.53
5,5,floor,wrap,98.52
4,3,floor,wrap,98.52
4,5,floor,wrap,98.48
5,4,floor,wrap,98.48
3,3,floor,wrap,77.8
3,4,floor,wrap,76.74
3,5,floor,wrap,76.72
3,8,floor,wrap,76.27
3,7,floor,wrap,76.21
3,6,floor,wrap,76.2
3,1,floor,wrap,10.69
2,1,floor,wrap,10.56
0,2,floor,wrap,10.44
0,6,floor,wrap,10.36
2,0,floor,wrap,10.35
1,1,floor,wrap,10.27
0,7,floor,wrap,10.22
0,4,floor,wrap,10.17
1,2,floor,wrap,10.17
1,8,floor,wrap,10.15
0,8,floor,wrap,9.99
1,4,floor,wrap,9.94
1,6,floor,wrap,9.93
1,0,floor,wrap,9.92
0,3,floor,wrap,9.87
0,5,floor,wrap,9.86
0,1,floor,wrap,9.8
0,0,floor,wrap,9.8
3,0,floor,wrap,9.8
5,0,floor,wrap,9.78
1,3,floor,wrap,9.76
2,2,floor,wrap,9.73
5,2,floor,wrap,9.67
1,5,floor,wrap,9.64
1,7,floor,wrap,9.62
4,0,floor,wrap,9.48
4,1,floor,wrap,9.01
2,4,floor,wrap,7.94
3,2,floor,wrap,7.91
2,6,floor,wrap,7.9
4,2,floor,wrap,7.89
2,7,floor,wrap,7.87
2,5,floor,wrap,7.86
2,3,floor,wrap,7.84
2,8,floor,wrap,7.67
5,1,floor,wrap,7.32
