m,n,rounding,overflow,acc
5,3,floor,wrap,98.58
5,8,floor,wrap,98.55
5,7,floor,wrap,98.54
5,4,floor,wrap,98.47
5,6,floor,wrap,98.46
4,3,floor,wrap,98.45
5,5,floor,wrap,98.43
4,6,floor,wrap,98.42
4,7,floor,wrap,98.37
4,4,floor,wrap,98.36
4,5,floor,wrap,98.35
4,8,floor,wrap,98.28
3,3,floor,wrap,34.67
3,7,floor,wrap,34.44
3,4,floor,wrap,34.36
3,5,floor,wrap,34.24
3,6,floor,wrap,34.01
3,8,floor,wrap,33.7
4,1,floor,wrap,13.13
5,0,floor,wrap,12.93
0,3,floor,wrap,10.69
4,0,floor,wrap,10.54
1,0,floor,wrap,10.39
1,1,floor,wrap,10.37
1,3,floor,wrap,10.3
2,0,floor,wrap,10.28
0,2,floor,wrap,10.19
0,7,floor,wrap,10.14
0,4,floor,wrap,10.07
1,6,floor,wrap,10.04
0,5,floor,wrap,10.0
2,1,floor,wrap,9.97
1,5,floor,wrap,9.91
0,6,floor,wrap,9.89
3,0,floor,wrap,9.89
1,8,floor,wrap,9.87
1,2,floor,wrap,9.82
0,1,floor,wrap,9.8
0,0,floor,wrap,9.8
0,8,floor,wrap,9.77
1,4,floor,wrap,9.59
1,7,floor,wrap,9.52
2,5,floor,wrap,9.49
3,1,floor,wrap,9.48
2,2,floor,wrap,9.43
2,8,floor,wrap,9.35
2,7,floor,wrap,9.27
5,2,floor,wrap,9.06
2,3,floor,wrap,8.94
2,6,floor,wrap,8.9
2,4,floor,wrap,8.83
3,2,floor,wrap,7.82
5,1,floor,wrap,6.47
4,2,floor,wrap,5.69
