m,n,rounding,overflow,acc
3,3,stochastic,saturate,98.56
3,5,stochastic,saturate,98.55
5,8,stochastic,saturate,98.55
5,4,stochastic,saturate,98.54
4,8,stochastic,saturate,98.53
3,7,stochastic,saturate,98.53
3,6,stochastic,saturate,98.53
4,7,stochastic,saturate,98.52
4,3,stochastic,saturate,98.51
5,5,stochastic,saturate,98.5
4,4,stochastic,saturate,98.5
5,6,stochastic,saturate,98.49
3,4,stochastic,saturate,98.49
5,7,stochastic,saturate,98.48
3,8,stochastic,saturate,98.46
5,3,stochastic,saturate,98.45
4,5,stochastic,saturate,98.41
4,6,stochastic,saturate,98.4
2,4,stochastic,saturate,98.33
2,5,stochastic,saturate,98.32
2,6,stochastic,saturate,98.3
2,3,stochastic,saturate,98.29
2,7,stochastic,saturate,98.24
2,8,stochastic,saturate,98.21
1,8,stochastic,saturate,91.07
1,6,stochastic,saturate,91.06
1,5,stochastic,saturate,91.02
1,7,stochastic,saturate,90.99
1,4,stochastic,saturate,90.9
1,3,stochastic,saturate,90.24
2,2,stochastic,saturate,67.9
4,2,stochastic,saturate,67.86
3,2,stochastic,saturate,67.67
5,2,stochastic,saturate,67.49
1,2,stochastic,saturate,66.57
0,5,stochastic,saturate,51.08
0,8,stochastic,saturate,50.99
0,4,stochastic,saturate,50.99
0,7,stochastic,saturate,50.95
0,6,stochastic,saturate,50.71
0,3,stochastic,saturate,46.59
0,2,stochastic,saturate,38.1
3,1,stochastic,saturate,33.05
4,1,stochastic,saturate,32.8
2,1,stochastic,saturate,32.67
5,1,stochastic,saturate,31.96
1,1,stochastic,saturate,26.96
2,0,stochastic,saturate,19.58
3,0,stochastic,saturate,19.09
4,0,stochastic,saturate,18.97
5,0,stochastic,saturate,18.74
1,0,stochastic,saturate,17.41
0,1,stochastic,saturate,9.8
0,0,stochastic,saturate,9.8
