m,n,rounding,overflow,acc,bits
0.0,0.0,floor,saturate,9.8,0.0
0.0,0.0,floor,wrap,9.8,0.0
0.0,0.0,ceil,saturate,9.8,0.0
0.0,0.0,ceil,wrap,9.8,0.0
0.0,0.0,trunc,saturate,9.8,0.0
0.0,0.0,trunc,wrap,9.8,0.0
0.0,0.0,nearest,saturate,9.8,0.0
0.0,0.0,nearest,wrap,9.8,0.0
0.0,0.0,stochastic,saturate,9.8,0.0
0.0,0.0,stochastic,wrap,9.8,0.0
0.0,1.0,nearest,saturate,34.97,1.0
0.0,1.0,nearest,wrap,31.74,1.0
0.0,1.0,stochastic,wrap,10.18,1.0
0.0,1.0,floor,saturate,9.8,1.0
1.0,0.0,floor,saturate,9.8,1.0
0.0,1.0,floor,wrap,9.8,1.0
1.0,0.0,floor,wrap,9.8,1.0
0.0,1.0,ceil,saturate,9.8,1.0
1.0,0.0,ceil,saturate,9.8,1.0
0.0,1.0,ceil,wrap,9.8,1.0
1.0,0.0,ceil,wrap,9.8,1.0
0.0,1.0,trunc,saturate,9.8,1.0
1.0,0.0,trunc,saturate,9.8,1.0
0.0,1.0,trunc,wrap,9.8,1.0
1.0,0.0,trunc,wrap,9.8,1.0
1.0,0.0,nearest,saturate,9.8,1.0
1.0,0.0,nearest,wrap,9.8,1.0
1.0,0.0,stochastic,saturate,9.8,1.0
1.0,0.0,stochastic,wrap,9.8,1.0
0.0,1.0,stochastic,saturate,8.8,1.0
0.0,2.0,nearest,saturate,96.48,2.0
0.0,2.0,nearest,wrap,96.24,2.0
1.0,1.0,nearest,saturate,34.8,2.0
1.0,1.0,nearest,wrap,34.8,2.0
0.0,2.0,trunc,saturate,26.39,2.0
0.0,2.0,trunc,wrap,25.78,2.0
2.0,0.0,stochastic,saturate,9.9,2.0
2.0,0.0,stochastic,wrap,9.9,2.0
1.0,1.0,floor,saturate,9.8,2.0
2.0,0.0,floor,saturate,9.8,2.0
1.0,1.0,floor,wrap,9.8,2.0
2.0,0.0,floor,wrap,9.8,2.0
0.0,2.0,ceil,saturate,9.8,2.0
1.0,1.0,ceil,saturate,9.8,2.0
2.0,0.0,ceil,saturate,9.8,2.0
0.0,2.0,ceil,wrap,9.8,2.0
1.0,1.0,ceil,wrap,9.8,2.0
2.0,0.0,ceil,wrap,9.8,2.0
1.0,1.0,trunc,saturate,9.8,2.0
2.0,0.0,trunc,saturate,9.8,2.0
1.0,1.0,trunc,wrap,9.8,2.0
2.0,0.0,trunc,wrap,9.8,2.0
2.0,0.0,nearest,saturate,9.8,2.0
2.0,0.0,nearest,wrap,9.8,2.0
0.0,2.0,floor,saturate,9.79,2.0
0.0,2.0,floor,wrap,9.79,2.0
1.0,1.0,stochastic,saturate,8.02,2.0
1.0,1.0,stochastic,wrap,8.02,2.0
0.0,2.0,stochastic,saturate,6.82,2.0
0.0,2.0,stochastic,wrap,6.13,2.0
0.0,3.0,nearest,saturate,97.99,3.0
0.0,3.0,nearest,wrap,97.31,3.0
1.0,2.0,nearest,saturate,96.37,3.0
1.0,2.0,nearest,wrap,96.37,3.0
0.0,3.0,trunc,saturate,93.9,3.0
0.0,3.0,trunc,wrap,93.35,3.0
2.0,1.0,nearest,saturate,34.85,3.0
2.0,1.0,nearest,wrap,34.85,3.0
0.0,3.0,stochastic,saturate,30.97,3.0
0.0,3.0,stochastic,wrap,29.8,3.0
1.0,2.0,trunc,saturate,26.49,3.0
1.0,2.0,trunc,wrap,26.49,3.0
0.0,3.0,floor,wrap,9.93,3.0
0.0,3.0,floor,saturate,9.88,3.0
1.0,2.0,floor,saturate,9.8,3.0
2.0,1.0,floor,saturate,9.8,3.0
3.0,0.0,floor,saturate,9.8,3.0
1.0,2.0,floor,wrap,9.8,3.0
2.0,1.0,floor,wrap,9.8,3.0
3.0,0.0,floor,wrap,9.8,3.0
0.0,3.0,ceil,saturate,9.8,3.0
1.0,2.0,ceil,saturate,9.8,3.0
2.0,1.0,ceil,saturate,9.8,3.0
3.0,0.0,ceil,saturate,9.8,3.0
0.0,3.0,ceil,wrap,9.8,3.0
1.0,2.0,ceil,wrap,9.8,3.0
2.0,1.0,ceil,wrap,9.8,3.0
3.0,0.0,ceil,wrap,9.8,3.0
2.0,1.0,trunc,saturate,9.8,3.0
3.0,0.0,trunc,saturate,9.8,3.0
2.0,1.0,trunc,wrap,9.8,3.0
3.0,0.0,trunc,wrap,9.8,3.0
3.0,0.0,nearest,saturate,9.8,3.0
3.0,0.0,nearest,wrap,9.8,3.0
3.0,0.0,stochastic,saturate,9.8,3.0
3.0,0.0,stochastic,wrap,9.8,3.0
2.0,1.0,stochastic,saturate,9.22,3.0
2.0,1.0,stochastic,wrap,9.22,3.0
1.0,2.0,stochastic,saturate,8.58,3.0
1.0,2.0,stochastic,wrap,8.58,3.0
0.0,4.0,nearest,saturate,98.21,4.0
1.0,3.0,nearest,saturate,98.03,4.0
1.0,3.0,nearest,wrap,98.03,4.0
0.0,4.0,nearest,wrap,97.92,4.0
0.0,4.0,trunc,saturate,97.79,4.0
0.0,4.0,trunc,wrap,97.4,4.0
2.0,2.0,nearest,saturate,96.48,4.0
2.0,2.0,nearest,wrap,96.48,4.0
1.0,3.0,trunc,saturate,93.77,4.0
1.0,3.0,trunc,wrap,93.77,4.0
0.0,4.0,stochastic,saturate,86.62,4.0
