m,n,rounding,overflow,acc
,,none,none,98.17
0.0,0.0,stochastic,wrap,9.8
0.0,1.0,stochastic,wrap,10.18
0.0,2.0,stochastic,wrap,6.13
0.0,3.0,stochastic,wrap,29.8
0.0,4.0,stochastic,wrap,84.79
0.0,5.0,stochastic,wrap,96.3
0.0,6.0,stochastic,wrap,97.67
0.0,7.0,stochastic,wrap,97.69
0.0,8.0,stochastic,wrap,97.77
1.0,0.0,stochastic,wrap,9.8
1.0,1.0,stochastic,wrap,8.02
1.0,2.0,stochastic,wrap,8.58
1.0,3.0,stochastic,wrap,29.26
1.0,4.0,stochastic,wrap,86.73
1.0,5.0,stochastic,wrap,97.05
1.0,6.0,stochastic,wrap,97.93
1.0,7.0,stochastic,wrap,98.12
1.0,8.0,stochastic,wrap,98.2
2.0,0.0,stochastic,wrap,9.9
2.0,1.0,stochastic,wrap,9.22
2.0,2.0,stochastic,wrap,7.12
2.0,3.0,stochastic,wrap,30.15
2.0,4.0,stochastic,wrap,86.17
2.0,5.0,stochastic,wrap,96.83
2.0,6.0,stochastic,wrap,97.95
2.0,7.0,stochastic,wrap,98.22
2.0,8.0,stochastic,wrap,98.17
3.0,0.0,stochastic,wrap,9.8
3.0,1.0,stochastic,wrap,8.43
3.0,2.0,stochastic,wrap,7.59
3.0,3.0,stochastic,wrap,28.75
3.0,4.0,stochastic,wrap,86.68
3.0,5.0,stochastic,wrap,97.07
3.0,6.0,stochastic,wrap,97.94
3.0,7.0,stochastic,wrap,97.96
3.0,8.0,stochastic,wrap,98.25
4.0,0.0,stochastic,wrap,9.81
4.0,1.0,stochastic,wrap,8.38
4.0,2.0,stochastic,wrap,7.18
4.0,3.0,stochastic,wrap,30.07
4.0,4.0,stochastic,wrap,87.11
4.0,5.0,stochastic,wrap,96.91
4.0,6.0,stochastic,wrap,97.87
4.0,7.0,stochastic,wrap,98.17
4.0,8.0,stochastic,wrap,98.18
5.0,0.0,stochastic,wrap,9.85
5.0,1.0,stochastic,wrap,8.66
5.0,2.0,stochastic,wrap,8.43
5.0,3.0,stochastic,wrap,29.75
5.0,4.0,stochastic,wrap,85.8
5.0,5.0,stochastic,wrap,96.9
5.0,6.0,stochastic,wrap,97.93
5.0,7.0,stochastic,wrap,98.1
5.0,8.0,stochastic,wrap,98.21
