m,n,rounding,overflow,acc
,,none,none,98.17
0.0,0.0,trunc,saturate,9.8
0.0,1.0,trunc,saturate,9.8
0.0,2.0,trunc,saturate,26.39
0.0,3.0,trunc,saturate,93.9
0.0,4.0,trunc,saturate,97.79
0.0,5.0,trunc,saturate,98.13
0.0,6.0,trunc,saturate,98.16
0.0,7.0,trunc,saturate,98.31
0.0,8.0,trunc,saturate,98.23
1.0,0.0,trunc,saturate,9.8
1.0,1.0,trunc,saturate,9.8
1.0,2.0,trunc,saturate,26.49
1.0,3.0,trunc,saturate,93.77
1.0,4.0,trunc,saturate,97.88
1.0,5.0,trunc,saturate,98.21
1.0,6.0,trunc,saturate,98.16
1.0,7.0,trunc,saturate,98.27
1.0,8.0,trunc,saturate,98.21
2.0,0.0,trunc,saturate,9.8
2.0,1.0,trunc,saturate,9.8
2.0,2.0,trunc,saturate,26.27
2.0,3.0,trunc,saturate,93.77
2.0,4.0,trunc,saturate,97.83
2.0,5.0,trunc,saturate,98.16
2.0,6.0,trunc,saturate,98.29
2.0,7.0,trunc,saturate,98.22
2.0,8.0,trunc,saturate,98.18
3.0,0.0,trunc,saturate,9.8
3.0,1.0,trunc,saturate,9.8
3.0,2.0,trunc,saturate,26.05
3.0,3.0,trunc,saturate,93.68
3.0,4.0,trunc,saturate,97.79
3.0,5.0,trunc,saturate,98.17
3.0,6.0,trunc,saturate,98.19
3.0,7.0,trunc,saturate,98.22
3.0,8.0,trunc,saturate,98.29
4.0,0.0,trunc,saturate,9.8
4.0,1.0,trunc,saturate,9.8
4.0,2.0,trunc,saturate,26.0
4.0,3.0,trunc,saturate,93.92
4.0,4.0,trunc,saturate,97.78
4.0,5.0,trunc,saturate,98.23
4.0,6.0,trunc,saturate,98.27
4.0,7.0,trunc,saturate,98.24
4.0,8.0,trunc,saturate,98.25
5.0,0.0,trunc,saturate,9.8
5.0,1.0,trunc,saturate,9.8
5.0,2.0,trunc,saturate,26.24
5.0,3.0,trunc,saturate,93.93
5.0,4.0,trunc,saturate,97.91
5.0,5.0,trunc,saturate,98.21
5.0,6.0,trunc,saturate,98.12
5.0,7.0,trunc,saturate,98.25
5.0,8.0,trunc,saturate,98.11
