m,n,rounding,overflow,acc
,,none,none,98.35
0.0,0.0,floor,saturate,9.8
0.0,1.0,floor,saturate,9.8
0.0,2.0,floor,saturate,9.8
0.0,3.0,floor,saturate,10.01
0.0,4.0,floor,saturate,30.28
0.0,5.0,floor,saturate,87.31
0.0,6.0,floor,saturate,97.04
0.0,7.0,floor,saturate,98.13
0.0,8.0,floor,saturate,98.3
1.0,0.0,floor,saturate,9.8
1.0,1.0,floor,saturate,9.8
1.0,2.0,floor,saturate,9.8
1.0,3.0,floor,saturate,9.97
1.0,4.0,floor,saturate,30.48
1.0,5.0,floor,saturate,87.2
1.0,6.0,floor,saturate,97.12
1.0,7.0,floor,saturate,98.19
1.0,8.0,floor,saturate,98.27
2.0,0.0,floor,saturate,9.8
2.0,1.0,floor,saturate,9.8
2.0,2.0,floor,saturate,9.8
2.0,3.0,floor,saturate,9.97
2.0,4.0,floor,saturate,29.8
2.0,5.0,floor,saturate,87.45
2.0,6.0,floor,saturate,97.06
2.0,7.0,floor,saturate,98.11
2.0,8.0,floor,saturate,98.3
3.0,0.0,floor,saturate,9.8
3.0,1.0,floor,saturate,9.8
3.0,2.0,floor,saturate,9.8
3.0,3.0,floor,saturate,10.02
3.0,4.0,floor,saturate,29.86
3.0,5.0,floor,saturate,87.26
3.0,6.0,floor,saturate,97.11
3.0,7.0,floor,saturate,98.16
3.0,8.0,floor,saturate,98.31
4.0,0.0,floor,saturate,9.8
4.0,1.0,floor,saturate,9.8
4.0,2.0,floor,saturate,9.8
4.0,3.0,floor,saturate,9.96
4.0,4.0,floor,saturate,29.95
4.0,5.0,floor,saturate,87.3
4.0,6.0,floor,saturate,97.1
4.0,7.0,floor,saturate,98.1
4.0,8.0,floor,saturate,98.29
5.0,0.0,floor,saturate,9.8
5.0,1.0,floor,saturate,9.8
5.0,2.0,floor,saturate,9.8
5.0,3.0,floor,saturate,10.01
5.0,4.0,floor,saturate,30.15
5.0,5.0,floor,saturate,87.33
5.0,6.0,floor,saturate,97.17
5.0,7.0,floor,saturate,98.13
5.0,8.0,floor,saturate,98.28
