m,n,rounding,overflow,acc
,,none,none,98.35
0.0,0.0,nearest,saturate,9.8
0.0,1.0,nearest,saturate,60.58
0.0,2.0,nearest,saturate,96.76
0.0,3.0,nearest,saturate,98.01
0.0,4.0,nearest,saturate,98.22
0.0,5.0,nearest,saturate,98.27
0.0,6.0,nearest,saturate,98.32
0.0,7.0,nearest,saturate,98.34
0.0,8.0,nearest,saturate,98.32
1.0,0.0,nearest,saturate,10.9
1.0,1.0,nearest,saturate,60.52
1.0,2.0,nearest,saturate,96.81
1.0,3.0,nearest,saturate,98.03
1.0,4.0,nearest,saturate,98.18
1.0,5.0,nearest,saturate,98.34
1.0,6.0,nearest,saturate,98.41
1.0,7.0,nearest,saturate,98.37
1.0,8.0,nearest,saturate,98.28
2.0,0.0,nearest,saturate,10.78
2.0,1.0,nearest,saturate,60.36
2.0,2.0,nearest,saturate,96.69
2.0,3.0,nearest,saturate,98.08
2.0,4.0,nearest,saturate,98.25
2.0,5.0,nearest,saturate,98.35
2.0,6.0,nearest,saturate,98.36
2.0,7.0,nearest,saturate,98.33
2.0,8.0,nearest,saturate,98.37
3.0,0.0,nearest,saturate,10.7
3.0,1.0,nearest,saturate,60.3
3.0,2.0,nearest,saturate,96.75
3.0,3.0,nearest,saturate,98.05
3.0,4.0,nearest,saturate,98.28
3.0,5.0,nearest,saturate,98.23
3.0,6.0,nearest,saturate,98.31
3.0,7.0,nearest,saturate,98.3
3.0,8.0,nearest,saturate,98.33
4.0,0.0,nearest,saturate,10.75
4.0,1.0,nearest,saturate,60.43
4.0,2.0,nearest,saturate,96.78
4.0,3.0,nearest,saturate,98.05
4.0,4.0,nearest,saturate,98.22
4.0,5.0,nearest,saturate,98.3
4.0,6.0,nearest,saturate,98.36
4.0,7.0,nearest,saturate,98.31
4.0,8.0,nearest,saturate,98.29
5.0,0.0,nearest,saturate,10.8
5.0,1.0,nearest,saturate,60.48
5.0,2.0,nearest,saturate,96.8
5.0,3.0,nearest,saturate,98.06
5.0,4.0,nearest,saturate,98.32
5.0,5.0,nearest,saturate,98.31
5.0,6.0,nearest,saturate,98.33
5.0,7.0,nearest,saturate,98.35
5.0,8.0,nearest,saturate,98.27
