m,n,rounding,overflow,acc
,,none,none,98.35
0.0,0.0,stochastic,wrap,9.8
0.0,1.0,stochastic,wrap,10.26
0.0,2.0,stochastic,wrap,14.17
0.0,3.0,stochastic,wrap,46.67
0.0,4.0,stochastic,wrap,89.9
0.0,5.0,stochastic,wrap,96.83
0.0,6.0,stochastic,wrap,97.9
0.0,7.0,stochastic,wrap,98.05
0.0,8.0,stochastic,wrap,98.13
1.0,0.0,stochastic,wrap,9.8
1.0,1.0,stochastic,wrap,10.09
1.0,2.0,stochastic,wrap,12.99
1.0,3.0,stochastic,wrap,45.96
1.0,4.0,stochastic,wrap,90.83
1.0,5.0,stochastic,wrap,97.19
1.0,6.0,stochastic,wrap,98.14
1.0,7.0,stochastic,wrap,98.3
1.0,8.0,stochastic,wrap,98.4
2.0,0.0,stochastic,wrap,9.88
2.0,1.0,stochastic,wrap,10.49
2.0,2.0,stochastic,wrap,11.31
2.0,3.0,stochastic,wrap,44.09
2.0,4.0,stochastic,wrap,90.89
2.0,5.0,stochastic,wrap,97.27
2.0,6.0,stochastic,wrap,98.17
2.0,7.0,stochastic,wrap,98.31
2.0,8.0,stochastic,wrap,98.29
3.0,0.0,stochastic,wrap,9.9
3.0,1.0,stochastic,wrap,10.14
3.0,2.0,stochastic,wrap,10.0
3.0,3.0,stochastic,wrap,46.01
3.0,4.0,stochastic,wrap,89.68
3.0,5.0,stochastic,wrap,97.36
3.0,6.0,stochastic,wrap,98.2
3.0,7.0,stochastic,wrap,98.43
3.0,8.0,stochastic,wrap,98.37
4.0,0.0,stochastic,wrap,9.81
4.0,1.0,stochastic,wrap,9.99
4.0,2.0,stochastic,wrap,10.01
4.0,3.0,stochastic,wrap,47.8
4.0,4.0,stochastic,wrap,90.43
4.0,5.0,stochastic,wrap,97.36
4.0,6.0,stochastic,wrap,98.17
4.0,7.0,stochastic,wrap,98.31
4.0,8.0,stochastic,wrap,98.36
5.0,0.0,stochastic,wrap,9.83
5.0,1.0,stochastic,wrap,11.37
5.0,2.0,stochastic,wrap,10.25
5.0,3.0,stochastic,wrap,45.83
5.0,4.0,stochastic,wrap,90.85
5.0,5.0,stochastic,wrap,97.27
5.0,6.0,stochastic,wrap,98.14
5.0,7.0,stochastic,wrap,98.4
5.0,8.0,stochastic,wrap,98.34
