m,n,rounding,overflow,acc
,,none,none,98.54
0.0,0.0,nearest,saturate,9.8
0.0,1.0,nearest,saturate,54.96
0.0,2.0,nearest,saturate,97.75
0.0,3.0,nearest,saturate,98.48
0.0,4.0,nearest,saturate,98.59
0.0,5.0,nearest,saturate,98.63
0.0,6.0,nearest,saturate,98.64
0.0,7.0,nearest,saturate,98.58
0.0,8.0,nearest,saturate,98.61
1.0,0.0,nearest,saturate,9.8
1.0,1.0,nearest,saturate,55.0
1.0,2.0,nearest,saturate,97.77
1.0,3.0,nearest,saturate,98.48
1.0,4.0,nearest,saturate,98.66
1.0,5.0,nearest,saturate,98.54
1.0,6.0,nearest,saturate,98.61
1.0,7.0,nearest,saturate,98.51
1.0,8.0,nearest,saturate,98.54
2.0,0.0,nearest,saturate,9.8
2.0,1.0,nearest,saturate,55.02
2.0,2.0,nearest,saturate,97.74
2.0,3.0,nearest,saturate,98.5
2.0,4.0,nearest,saturate,98.53
2.0,5.0,nearest,saturate,98.57
2.0,6.0,nearest,saturate,98.63
2.0,7.0,nearest,saturate,98.62
2.0,8.0,nearest,saturate,98.59
3.0,0.0,nearest,saturate,9.8
3.0,1.0,nearest,saturate,55.28
3.0,2.0,nearest,saturate,97.7
3.0,3.0,nearest,saturate,98.49
3.0,4.0,nearest,saturate,98.53
3.0,5.0,nearest,saturate,98.58
3.0,6.0,nearest,saturate,98.53
3.0,7.0,nearest,saturate,98.49
3.0,8.0,nearest,saturate,98.55
4.0,0.0,nearest,saturate,9.8
4.0,1.0,nearest,saturate,54.84
4.0,2.0,nearest,saturate,97.81
4.0,3.0,nearest,saturate,98.42
4.0,4.0,nearest,saturate,98.62
4.0,5.0,nearest,saturate,98.62
4.0,6.0,nearest,saturate,98.58
4.0,7.0,nearest,saturate,98.52
4.0,8.0,nearest,saturate,98.58
5.0,0.0,nearest,saturate,9.8
5.0,1.0,nearest,saturate,55.08
5.0,2.0,nearest,saturate,97.8
5.0,3.0,nearest,saturate,98.48
5.0,4.0,nearest,saturate,98.53
5.0,5.0,nearest,saturate,98.65
5.0,6.0,nearest,saturate,98.58
5.0,7.0,nearest,saturate,98.59
5.0,8.0,nearest,saturate,98.48
