m,n,rounding,overflow,acc
,,none,none,98.46
0.0,0.0,floor,wrap,9.8
0.0,1.0,floor,wrap,9.8
0.0,2.0,floor,wrap,9.8
0.0,3.0,floor,wrap,9.97
0.0,4.0,floor,wrap,32.34
0.0,5.0,floor,wrap,90.73
0.0,6.0,floor,wrap,97.61
0.0,7.0,floor,wrap,98.39
0.0,8.0,floor,wrap,98.44
1.0,0.0,floor,wrap,9.8
1.0,1.0,floor,wrap,9.8
1.0,2.0,floor,wrap,9.8
1.0,3.0,floor,wrap,9.93
1.0,4.0,floor,wrap,32.12
1.0,5.0,floor,wrap,91.09
1.0,6.0,floor,wrap,97.6
1.0,7.0,floor,wrap,98.41
1.0,8.0,floor,wrap,98.58
2.0,0.0,floor,wrap,9.8
2.0,1.0,floor,wrap,9.8
2.0,2.0,floor,wrap,9.8
2.0,3.0,floor,wrap,9.95
2.0,4.0,floor,wrap,32.45
2.0,5.0,floor,wrap,90.93
2.0,6.0,floor,wrap,97.66
2.0,7.0,floor,wrap,98.4
2.0,8.0,floor,wrap,98.57
3.0,0.0,floor,wrap,9.8
3.0,1.0,floor,wrap,9.8
3.0,2.0,floor,wrap,9.8
3.0,3.0,floor,wrap,9.94
3.0,4.0,floor,wrap,31.98
3.0,5.0,floor,wrap,91.03
3.0,6.0,floor,wrap,97.55
3.0,7.0,floor,wrap,98.37
3.0,8.0,floor,wrap,98.55
4.0,0.0,floor,wrap,9.8
4.0,1.0,floor,wrap,9.8
4.0,2.0,floor,wrap,9.8
4.0,3.0,floor,wrap,9.95
4.0,4.0,floor,wrap,32.4
4.0,5.0,floor,wrap,90.76
4.0,6.0,floor,wrap,97.7
4.0,7.0,floor,wrap,98.43
4.0,8.0,floor,wrap,98.57
5.0,0.0,floor,wrap,9.8
5.0,1.0,floor,wrap,9.8
5.0,2.0,floor,wrap,9.8
5.0,3.0,floor,wrap,9.97
5.0,4.0,floor,wrap,32.44
5.0,5.0,floor,wrap,90.61
5.0,6.0,floor,wrap,97.66
5.0,7.0,floor,wrap,98.26
5.0,8.0,floor,wrap,98.56
