m,n,rounding,overflow,acc
,,none,none,98.7
0.0,0.0,ceil,saturate,9.8
0.0,1.0,ceil,saturate,9.8
0.0,2.0,ceil,saturate,9.8
0.0,3.0,ceil,saturate,9.79
0.0,4.0,ceil,saturate,10.41
0.0,5.0,ceil,saturate,90.18
0.0,6.0,ceil,saturate,98.05
0.0,7.0,ceil,saturate,98.61
0.0,8.0,ceil,saturate,98.65
1.0,0.0,ceil,saturate,9.8
1.0,1.0,ceil,saturate,9.8
1.0,2.0,ceil,saturate,9.8
1.0,3.0,ceil,saturate,9.8
1.0,4.0,ceil,saturate,10.37
1.0,5.0,ceil,saturate,90.24
1.0,6.0,ceil,saturate,98.06
1.0,7.0,ceil,saturate,98.53
1.0,8.0,ceil,saturate,98.71
2.0,0.0,ceil,saturate,9.8
2.0,1.0,ceil,saturate,9.8
2.0,2.0,ceil,saturate,9.8
2.0,3.0,ceil,saturate,9.79
2.0,4.0,ceil,saturate,10.36
2.0,5.0,ceil,saturate,90.09
2.0,6.0,ceil,saturate,98.07
2.0,7.0,ceil,saturate,98.64
2.0,8.0,ceil,saturate,98.73
3.0,0.0,ceil,saturate,9.8
3.0,1.0,ceil,saturate,9.8
3.0,2.0,ceil,saturate,9.8
3.0,3.0,ceil,saturate,9.8
3.0,4.0,ceil,saturate,10.35
3.0,5.0,ceil,saturate,90.1
3.0,6.0,ceil,saturate,98.01
3.0,7.0,ceil,saturate,98.61
3.0,8.0,ceil,saturate,98.72
4.0,0.0,ceil,saturate,9.8
4.0,1.0,ceil,saturate,9.8
4.0,2.0,ceil,saturate,9.8
4.0,3.0,ceil,saturate,9.8
4.0,4.0,ceil,saturate,10.41
4.0,5.0,ceil,saturate,90.01
4.0,6.0,ceil,saturate,98.16
4.0,7.0,ceil,saturate,98.59
4.0,8.0,ceil,saturate,98.78
5.0,0.0,ceil,saturate,9.8
5.0,1.0,ceil,saturate,9.8
5.0,2.0,ceil,saturate,9.8
5.0,3.0,ceil,saturate,9.8
5.0,4.0,ceil,saturate,10.45
5.0,5.0,ceil,saturate,89.86
5.0,6.0,ceil,saturate,97.98
5.0,7.0,ceil,saturate,98.66
5.0,8.0,ceil,saturate,98.76
