m,n,rounding,overflow,acc
,,none,none,98.7
0.0,0.0,stochastic,saturate,9.8
0.0,1.0,stochastic,saturate,10.78
0.0,2.0,stochastic,saturate,15.63
0.0,3.0,stochastic,saturate,54.46
0.0,4.0,stochastic,saturate,94.17
0.0,5.0,stochastic,saturate,98.18
0.0,6.0,stochastic,saturate,98.6
0.0,7.0,stochastic,saturate,98.62
0.0,8.0,stochastic,saturate,98.7
1.0,0.0,stochastic,saturate,9.84
1.0,1.0,stochastic,saturate,10.0
1.0,2.0,stochastic,saturate,16.81
1.0,3.0,stochastic,saturate,52.89
1.0,4.0,stochastic,saturate,93.95
1.0,5.0,stochastic,saturate,98.19
1.0,6.0,stochastic,saturate,98.55
1.0,7.0,stochastic,saturate,98.69
1.0,8.0,stochastic,saturate,98.72
2.0,0.0,stochastic,saturate,9.95
2.0,1.0,stochastic,saturate,17.15
2.0,2.0,stochastic,saturate,13.64
2.0,3.0,stochastic,saturate,55.96
2.0,4.0,stochastic,saturate,93.42
2.0,5.0,stochastic,saturate,98.13
2.0,6.0,stochastic,saturate,98.62
2.0,7.0,stochastic,saturate,98.68
2.0,8.0,stochastic,saturate,98.68
3.0,0.0,stochastic,saturate,9.83
3.0,1.0,stochastic,saturate,10.18
3.0,2.0,stochastic,saturate,12.44
3.0,3.0,stochastic,saturate,54.96
3.0,4.0,stochastic,saturate,93.3
3.0,5.0,stochastic,saturate,98.21
3.0,6.0,stochastic,saturate,98.54
3.0,7.0,stochastic,saturate,98.68
3.0,8.0,stochastic,saturate,98.73
4.0,0.0,stochastic,saturate,9.83
4.0,1.0,stochastic,saturate,10.38
4.0,2.0,stochastic,saturate,15.25
4.0,3.0,stochastic,saturate,53.46
4.0,4.0,stochastic,saturate,93.02
4.0,5.0,stochastic,saturate,98.22
4.0,6.0,stochastic,saturate,98.56
4.0,7.0,stochastic,saturate,98.7
4.0,8.0,stochastic,saturate,98.73
5.0,0.0,stochastic,saturate,9.8
5.0,1.0,stochastic,saturate,10.25
5.0,2.0,stochastic,saturate,15.6
5.0,3.0,stochastic,saturate,51.18
5.0,4.0,stochastic,saturate,93.87
5.0,5.0,stochastic,saturate,98.26
5.0,6.0,stochastic,saturate,98.59
5.0,7.0,stochastic,saturate,98.7
5.0,8.0,stochastic,saturate,98.75
