m,n,rounding,overflow,acc
,,none,none,98.7
0.0,0.0,trunc,wrap,9.8
0.0,1.0,trunc,wrap,9.8
0.0,2.0,trunc,wrap,20.06
0.0,3.0,trunc,wrap,98.01
0.0,4.0,trunc,wrap,98.57
0.0,5.0,trunc,wrap,98.68
0.0,6.0,trunc,wrap,98.79
0.0,7.0,trunc,wrap,98.73
0.0,8.0,trunc,wrap,98.71
1.0,0.0,trunc,wrap,9.8
1.0,1.0,trunc,wrap,9.8
1.0,2.0,trunc,wrap,19.75
1.0,3.0,trunc,wrap,97.83
1.0,4.0,trunc,wrap,98.64
1.0,5.0,trunc,wrap,98.75
1.0,6.0,trunc,wrap,98.81
1.0,7.0,trunc,wrap,98.67
1.0,8.0,trunc,wrap,98.75
2.0,0.0,trunc,wrap,9.8
2.0,1.0,trunc,wrap,9.8
2.0,2.0,trunc,wrap,19.83
2.0,3.0,trunc,wrap,97.79
2.0,4.0,trunc,wrap,98.59
2.0,5.0,trunc,wrap,98.72
2.0,6.0,trunc,wrap,98.78
2.0,7.0,trunc,wrap,98.75
2.0,8.0,trunc,wrap,98.8
3.0,0.0,trunc,wrap,9.8
3.0,1.0,trunc,wrap,9.8
3.0,2.0,trunc,wrap,19.86
3.0,3.0,trunc,wrap,97.84
3.0,4.0,trunc,wrap,98.63
3.0,5.0,trunc,wrap,98.75
3.0,6.0,trunc,wrap,98.73
3.0,7.0,trunc,wrap,98.76
3.0,8.0,trunc,wrap,98.75
4.0,0.0,trunc,wrap,9.8
4.0,1.0,trunc,wrap,9.8
4.0,2.0,trunc,wrap,20.0
4.0,3.0,trunc,wrap,97.89
4.0,4.0,trunc,wrap,98.63
4.0,5.0,trunc,wrap,98.7
4.0,6.0,trunc,wrap,98.69
4.0,7.0,trunc,wrap,98.77
4.0,8.0,trunc,wrap,98.81
5.0,0.0,trunc,wrap,9.8
5.0,1.0,trunc,wrap,9.8
5.0,2.0,trunc,wrap,20.14
5.0,3.0,trunc,wrap,97.69
5.0,4.0,trunc,wrap,98.59
5.0,5.0,trunc,wrap,98.78
5.0,6.0,trunc,wrap,98.71
5.0,7.0,trunc,wrap,98.73
5.0,8.0,trunc,wrap,98.77
