m,n,rounding,overflow,acc
,,none,none,98.71
0.0,0.0,stochastic,saturate,9.8
0.0,1.0,stochastic,saturate,11.33
0.0,2.0,stochastic,saturate,10.85
0.0,3.0,stochastic,saturate,32.02
0.0,4.0,stochastic,saturate,89.95
0.0,5.0,stochastic,saturate,97.77
0.0,6.0,stochastic,saturate,98.44
0.0,7.0,stochastic,saturate,98.68
0.0,8.0,stochastic,saturate,98.63
1.0,0.0,stochastic,saturate,9.85
1.0,1.0,stochastic,saturate,10.68
1.0,2.0,stochastic,saturate,10.33
1.0,3.0,stochastic,saturate,30.82
1.0,4.0,stochastic,saturate,90.11
1.0,5.0,stochastic,saturate,97.78
1.0,6.0,stochastic,saturate,98.54
1.0,7.0,stochastic,saturate,98.73
1.0,8.0,stochastic,saturate,98.64
2.0,0.0,stochastic,saturate,10.11
2.0,1.0,stochastic,saturate,10.87
2.0,2.0,stochastic,saturate,11.29
2.0,3.0,stochastic,saturate,33.75
2.0,4.0,stochastic,saturate,89.96
2.0,5.0,stochastic,saturate,97.76
2.0,6.0,stochastic,saturate,98.55
2.0,7.0,stochastic,saturate,98.63
2.0,8.0,stochastic,saturate,98.7
3.0,0.0,stochastic,saturate,9.98
3.0,1.0,stochastic,saturate,12.11
3.0,2.0,stochastic,saturate,12.02
3.0,3.0,stochastic,saturate,29.99
3.0,4.0,stochastic,saturate,90.26
3.0,5.0,stochastic,saturate,97.81
3.0,6.0,stochastic,saturate,98.49
3.0,7.0,stochastic,saturate,98.6
3.0,8.0,stochastic,saturate,98.72
4.0,0.0,stochastic,saturate,9.95
4.0,1.0,stochastic,saturate,13.14
4.0,2.0,stochastic,saturate,11.25
4.0,3.0,stochastic,saturate,32.19
4.0,4.0,stochastic,saturate,89.56
4.0,5.0,stochastic,saturate,97.85
4.0,6.0,stochastic,saturate,98.5
4.0,7.0,stochastic,saturate,98.65
4.0,8.0,stochastic,saturate,98.61
5.0,0.0,stochastic,saturate,9.79
5.0,1.0,stochastic,saturate,12.35
5.0,2.0,stochastic,saturate,11.34
5.0,3.0,stochastic,saturate,32.99
5.0,4.0,stochastic,saturate,90.47
5.0,5.0,stochastic,saturate,97.78
5.0,6.0,stochastic,saturate,98.51
5.0,7.0,stochastic,saturate,98.66
5.0,8.0,stochastic,saturate,98.73
