m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
1,7,ceil,saturate,97.79,10000,9779,110.6226737499237,90.397381124653
2,7,ceil,saturate,97.78,10000,9778,108.06400060653687,92.53775488481308
5,1,ceil,saturate,97.78,10000,9778,103.71426248550415,96.41875437717809
2,5,ceil,saturate,97.77,10000,9777,108.11750864982605,92.49195736084036
0,5,ceil,saturate,97.77,10000,9777,107.60816621780396,92.92975014330727
1,6,ceil,saturate,97.76,10000,9776,108.94832611083984,91.78663277328725
3,7,ceil,saturate,97.76,10000,9776,106.51682591438293,93.88188123478155
0,2,ceil,saturate,97.76,10000,9776,109.73608303070068,91.12772867245786
3,2,ceil,saturate,97.74,10000,9774,106.27364182472229,94.09670947847121
3,4,ceil,saturate,97.74,10000,9774,105.97489094734192,94.36197490374319
4,3,ceil,saturate,97.74,10000,9774,107.9163339138031,92.66437838768117
5,6,ceil,saturate,97.73,10000,9773,104.01026463508606,96.1443568582814
0,3,ceil,saturate,97.73,10000,9773,107.78143835067749,92.78035395541873
4,8,ceil,saturate,97.73,10000,9773,103.46900582313538,96.6472995506837
1,8,ceil,saturate,97.73,10000,9773,109.88873243331909,91.0011406862668
2,3,ceil,saturate,97.72,10000,9772,109.23006415367126,91.54988672286609
5,4,ceil,saturate,97.72,10000,9772,103.3738317489624,96.73628065064322
1,3,ceil,saturate,97.71,10000,9771,109.43217349052429,91.3808040271255
4,5,ceil,saturate,97.71,10000,9771,107.1330304145813,93.34189429069818
5,7,ceil,saturate,97.71,10000,9771,106.58115315437317,93.82521866240182
0,4,ceil,saturate,97.71,10000,9771,108.67599368095398,92.01664195827409
2,1,ceil,saturate,97.71,10000,9771,109.73434042930603,91.12917579745498
2,6,ceil,saturate,97.71,10000,9771,109.03973436355591,91.70968783414678
5,5,ceil,saturate,97.7,10000,9770,104.581618309021,95.61909790353111
3,5,ceil,saturate,97.7,10000,9770,105.82540130615234,94.49527123521177
1,2,ceil,saturate,97.7,10000,9770,108.8448076248169,91.87392782639247
4,4,ceil,saturate,97.68,10000,9768,105.67965507507324,94.62559272071952
2,4,ceil,saturate,97.68,10000,9768,108.16252255439758,92.45346506199276
0,8,ceil,saturate,97.68,10000,9768,109.21329092979431,91.5639471612325
5,2,ceil,saturate,97.67,10000,9767,104.00364542007446,96.1504758762026
2,2,ceil,saturate,97.67,10000,9767,109.19048428535461,91.58307214634517
0,6,ceil,saturate,97.67,10000,9767,108.13320684432983,92.47852987839478
5,3,ceil,saturate,97.67,10000,9767,104.04874801635742,96.10879698838767
3,6,ceil,saturate,97.67,10000,9767,106.92465829849243,93.52379665393791
3,3,ceil,saturate,97.66,10000,9766,106.5157380104065,93.88284010221108
3,8,ceil,saturate,97.65,10000,9765,106.32630848884583,94.0501005078066
1,1,ceil,saturate,97.65,10000,9765,109.15509128570557,91.61276750550941
2,8,ceil,saturate,97.64,10000,9764,107.05803084373474,93.40728501345512
4,1,ceil,saturate,97.63,10000,9763,107.17259049415588,93.30743946648653
4,6,ceil,saturate,97.62,10000,9762,104.51021647453308,95.68442528713724
4,2,ceil,saturate,97.62,10000,9762,106.94056963920593,93.50988155138701
4,7,ceil,saturate,97.61,10000,9761,107.36932563781738,93.13647022178765
0,7,ceil,saturate,97.61,10000,9761,108.74231576919556,91.96052088153886
3,1,ceil,saturate,97.6,10000,9760,106.15624475479126,94.200770035704
1,5,ceil,saturate,97.59,10000,9759,107.68067598342896,92.86717332215584
5,8,ceil,saturate,97.58,10000,9758,106.46103310585022,93.93108171378888
1,4,ceil,saturate,97.57,10000,9757,110.51575374603271,90.48483732898559
4,0,ceil,saturate,96.99,10000,9699,114.3096559047699,87.48167353710599
2,0,ceil,saturate,96.94,10000,9694,117.86174440383911,84.84517220223893
1,0,ceil,saturate,96.9,10000,9690,118.12156009674072,84.65854998706477
3,0,ceil,saturate,96.9,10000,9690,117.05827403068542,85.4275366932082
5,0,ceil,saturate,96.81,10000,9681,111.60245728492737,89.6037618102748
0,1,ceil,saturate,9.8,10000,980,73.5279369354248,136.0027278989536
0,0,ceil,saturate,9.8,10000,980,72.05865120887756,138.775842070827
