m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
1,3,nearest,saturate,97.83,10000,9783,106.00474262237549,94.33540191332156
5,0,nearest,saturate,97.83,10000,9783,103.06750535964966,97.02379004037623
2,1,nearest,saturate,97.82,10000,9782,103.09856271743774,96.99456264397209
5,8,nearest,saturate,97.81,10000,9781,104.22388410568237,95.94729735710158
3,1,nearest,saturate,97.81,10000,9781,106.72009444236755,93.70306550281715
4,8,nearest,saturate,97.81,10000,9781,105.15729022026062,95.09564176724386
0,4,nearest,saturate,97.78,10000,9778,103.61156892776489,96.51431884958447
1,8,nearest,saturate,97.78,10000,9778,106.20207118988037,94.16012218933886
2,8,nearest,saturate,97.78,10000,9778,108.39553904533386,92.25471904169171
3,6,nearest,saturate,97.78,10000,9778,107.1366491317749,93.33874151412275
3,8,nearest,saturate,97.77,10000,9777,106.57355093955994,93.83191149998565
4,0,nearest,saturate,97.77,10000,9777,105.69078946113586,94.61562403862216
0,8,nearest,saturate,97.76,10000,9776,104.04109477996826,96.11586672697496
1,5,nearest,saturate,97.76,10000,9776,107.0821623802185,93.38623518352968
1,7,nearest,saturate,97.75,10000,9775,104.67411041259766,95.53460698717807
4,6,nearest,saturate,97.75,10000,9775,104.60602569580078,95.59678740764387
3,3,nearest,saturate,97.74,10000,9774,104.0199818611145,96.13537534886143
1,0,nearest,saturate,97.74,10000,9774,102.98684787750244,97.0997773608382
3,0,nearest,saturate,97.74,10000,9774,106.71787643432617,93.7050130130163
2,2,nearest,saturate,97.73,10000,9773,103.5808835029602,96.54291083271377
2,3,nearest,saturate,97.73,10000,9773,107.43349480628967,93.0808405519221
1,6,nearest,saturate,97.73,10000,9773,104.52004551887512,95.67542714276865
3,7,nearest,saturate,97.73,10000,9773,106.2420699596405,94.12467211716437
2,7,nearest,saturate,97.72,10000,9772,104.78765773773193,95.43108621655163
0,3,nearest,saturate,97.71,10000,9771,103.68377757072449,96.44710324311659
0,7,nearest,saturate,97.71,10000,9771,104.43057823181152,95.75739375685858
4,2,nearest,saturate,97.71,10000,9771,104.95104002952576,95.28252409110678
3,2,nearest,saturate,97.71,10000,9771,105.95408296585083,94.38050634842469
5,6,nearest,saturate,97.7,10000,9770,103.37314367294312,96.73692455013729
1,4,nearest,saturate,97.7,10000,9770,105.91535925865173,94.41501279884623
0,6,nearest,saturate,97.7,10000,9770,103.48057055473328,96.63649848848453
5,3,nearest,saturate,97.7,10000,9770,103.93381690979004,96.21507510572386
2,6,nearest,saturate,97.69,10000,9769,106.06533241271973,94.28151284236927
2,5,nearest,saturate,97.69,10000,9769,106.62181639671326,93.78943576418251
5,5,nearest,saturate,97.69,10000,9769,104.23676323890686,95.9354424415536
2,4,nearest,saturate,97.68,10000,9768,107.41616654396057,93.09585625463048
0,5,nearest,saturate,97.68,10000,9768,104.94724941253662,95.28596562536909
1,2,nearest,saturate,97.67,10000,9767,105.95755505561829,94.377413623322
4,4,nearest,saturate,97.67,10000,9767,104.84624743461609,95.37775785667647
5,7,nearest,saturate,97.67,10000,9767,104.91612505912781,95.31423310157784
4,3,nearest,saturate,97.67,10000,9767,104.86490511894226,95.36078813648449
4,5,nearest,saturate,97.66,10000,9766,104.66867470741272,95.53956833745782
0,2,nearest,saturate,97.65,10000,9765,106.3590931892395,94.02110999768955
4,7,nearest,saturate,97.65,10000,9765,103.11247277259827,96.98147790572104
5,4,nearest,saturate,97.65,10000,9765,104.07979416847229,96.08012851959681
4,1,nearest,saturate,97.64,10000,9764,105.50233912467957,94.78462831219593
5,1,nearest,saturate,97.64,10000,9764,102.62917160987854,97.43818295652552
3,4,nearest,saturate,97.63,10000,9763,105.8241639137268,94.4963761599147
5,2,nearest,saturate,97.63,10000,9763,103.25321125984192,96.84928805588908
1,1,nearest,saturate,97.63,10000,9763,103.10627388954163,96.98730855809086
3,5,nearest,saturate,97.62,10000,9762,106.62420272827148,93.7873366845677
2,0,nearest,saturate,97.59,10000,9759,106.13877725601196,94.21627286961774
0,1,nearest,saturate,9.8,10000,980,70.9772093296051,140.89029555334923
0,0,nearest,saturate,9.8,10000,980,68.53173279762268,145.91780466912246
