m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,7,nearest,wrap,97.8,10000,9780,103.20934653282166,96.89044971154715
5,4,nearest,wrap,97.74,10000,9774,104.8185293674469,95.40297941926347
5,5,nearest,wrap,97.71,10000,9771,114.83273816108704,87.08317993751946
5,6,nearest,wrap,97.7,10000,9770,191.63997292518616,52.1811804049037
5,3,nearest,wrap,97.65,10000,9765,103.45911765098572,96.6565366789084
5,1,nearest,wrap,97.65,10000,9765,107.99481630325317,92.59703699036493
5,0,nearest,wrap,97.64,10000,9764,101.80237412452698,98.22953625588116
5,2,nearest,wrap,97.64,10000,9764,103.8647518157959,96.2790535304508
4,0,nearest,wrap,97.62,10000,9762,101.58059763908386,98.44399651526
5,8,nearest,wrap,97.58,10000,9758,150.4013113975525,66.48878195993397
4,2,nearest,wrap,97.56,10000,9756,100.63637137413025,99.36765270305261
4,7,nearest,wrap,97.55,10000,9755,104.24378228187561,95.92898282374252
4,1,nearest,wrap,97.54,10000,9754,104.15331411361694,96.01230729049462
4,8,nearest,wrap,97.53,10000,9753,104.35733914375305,95.82459731198131
4,6,nearest,wrap,97.52,10000,9752,106.65343976020813,93.76162665248562
4,5,nearest,wrap,97.52,10000,9752,103.75148487091064,96.3841627176919
4,4,nearest,wrap,97.51,10000,9751,101.46671748161316,98.55448415202852
4,3,nearest,wrap,97.42,10000,9742,103.47746968269348,96.6393943596061
3,0,nearest,wrap,67.23,10000,6723,105.63946962356567,94.6615884728868
3,1,nearest,wrap,62.17,10000,6217,108.16663312911987,92.44995162290827
3,2,nearest,wrap,57.77,10000,5777,115.90451335906982,86.27791714219276
3,3,nearest,wrap,56.85,10000,5685,114.91763591766357,87.01884545523387
3,4,nearest,wrap,56.33,10000,5633,116.10623502731323,86.12801885831166
3,5,nearest,wrap,56.13,10000,5613,112.75912046432495,88.68462221788816
3,8,nearest,wrap,56.06,10000,5606,119.42296385765076,83.7359891010556
3,7,nearest,wrap,55.81,10000,5581,117.47809934616089,85.12224879067891
3,6,nearest,wrap,55.49,10000,5549,116.45160603523254,85.87258124181207
1,5,nearest,wrap,10.85,10000,1085,134.85262989997864,74.15502395034555
2,7,nearest,wrap,10.59,10000,1059,128.43445920944214,77.86072415108382
0,8,nearest,wrap,10.33,10000,1033,108.2593240737915,92.37079656237111
1,8,nearest,wrap,10.3,10000,1030,133.63043594360352,74.83325134268313
1,6,nearest,wrap,10.27,10000,1027,145.91560816764832,68.53276442168269
2,8,nearest,wrap,10.26,10000,1026,141.93041229248047,70.45706299642592
2,2,nearest,wrap,10.21,10000,1021,131.9308636188507,75.79727537363871
2,4,nearest,wrap,10.21,10000,1021,134.65459847450256,74.26408093960151
1,7,nearest,wrap,10.19,10000,1019,128.6977436542511,77.70143994804748
2,6,nearest,wrap,10.18,10000,1018,139.41628527641296,71.7276319633216
2,1,nearest,wrap,10.13,10000,1013,127.64069056510925,78.34492242032348
2,0,nearest,wrap,10.1,10000,1010,126.12447333335876,79.28675328196667
2,5,nearest,wrap,10.09,10000,1009,134.87419629096985,74.14316655816486
1,2,nearest,wrap,10.08,10000,1008,127.3891749382019,78.49960567568732
1,0,nearest,wrap,10.08,10000,1008,106.0331289768219,94.31014718226348
0,3,nearest,wrap,10.08,10000,1008,97.00703239440918,103.08530993239961
1,1,nearest,wrap,10.06,10000,1006,115.65725779533386,86.462364667991
0,6,nearest,wrap,10.04,10000,1004,105.42522072792053,94.8539631309648
0,2,nearest,wrap,10.04,10000,1004,89.19336533546448,112.11596246412586
0,5,nearest,wrap,10.0,10000,1000,104.59534931182861,95.60654527943822
0,0,nearest,wrap,9.8,10000,980,67.2399206161499,148.72117498601222
0,1,nearest,wrap,9.8,10000,980,74.39208149909973,134.42290897749672
0,4,nearest,wrap,9.74,10000,974,104.43035316467285,95.75760013213134
1,4,nearest,wrap,9.64,10000,964,132.75047039985657,75.32929992548489
0,7,nearest,wrap,9.47,10000,947,108.76313853263855,91.94291498860265
2,3,nearest,wrap,9.42,10000,942,131.37150526046753,76.12000776099208
1,3,nearest,wrap,9.36,10000,936,127.36094927787781,78.51700271314614
