m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,4,stochastic,saturate,97.81,10000,9781,106.37513279914856,94.00693317000533
2,4,stochastic,saturate,97.8,10000,9780,106.28486704826355,94.08677150114924
1,8,stochastic,saturate,97.78,10000,9778,107.36064791679382,93.14399823434519
2,7,stochastic,saturate,97.78,10000,9778,107.96034574508667,92.6266022119988
2,1,stochastic,saturate,97.77,10000,9777,105.68100214004517,94.62438657374115
0,5,stochastic,saturate,97.77,10000,9777,109.44787216186523,91.36769680831023
0,8,stochastic,saturate,97.77,10000,9777,113.170339345932,88.36237531666868
1,5,stochastic,saturate,97.77,10000,9777,108.56343746185303,92.11204281841016
3,7,stochastic,saturate,97.76,10000,9776,108.39989233016968,92.25101413884722
5,5,stochastic,saturate,97.76,10000,9776,106.61180138587952,93.79824625423201
3,3,stochastic,saturate,97.76,10000,9776,107.71838331222534,92.83466472955378
0,4,stochastic,saturate,97.73,10000,9773,109.40763759613037,91.40129720115343
1,3,stochastic,saturate,97.73,10000,9773,108.55790495872498,92.11673718097379
2,8,stochastic,saturate,97.72,10000,9772,111.12733149528503,89.98686340654446
4,2,stochastic,saturate,97.72,10000,9772,106.97950315475464,93.4758500937715
5,2,stochastic,saturate,97.72,10000,9772,102.9002571105957,97.18148701273064
5,8,stochastic,saturate,97.71,10000,9771,106.27433681488037,94.09609412495355
1,7,stochastic,saturate,97.71,10000,9771,107.59833765029907,92.93823880904729
1,1,stochastic,saturate,97.7,10000,9770,104.95717072486877,95.27695850542376
0,3,stochastic,saturate,97.7,10000,9770,108.0047059059143,92.58855821255842
2,0,stochastic,saturate,97.69,10000,9769,109.74259853363037,91.12231834874515
0,6,stochastic,saturate,97.69,10000,9769,109.45781540870667,91.35939688418598
5,0,stochastic,saturate,97.69,10000,9769,104.03081893920898,96.12536075337019
2,6,stochastic,saturate,97.69,10000,9769,108.49456405639648,92.17051643990115
1,2,stochastic,saturate,97.68,10000,9768,107.63685393333435,92.90498221170205
1,0,stochastic,saturate,97.67,10000,9767,117.71137285232544,84.95355850233332
4,4,stochastic,saturate,97.67,10000,9767,108.13301849365234,92.4786909614201
4,7,stochastic,saturate,97.67,10000,9767,104.27497959136963,95.90028249526173
1,6,stochastic,saturate,97.67,10000,9767,109.576340675354,91.26057631024001
2,3,stochastic,saturate,97.67,10000,9767,107.82517647743225,92.74271859961198
4,8,stochastic,saturate,97.67,10000,9767,104.45446515083313,95.73549570676481
0,2,stochastic,saturate,97.66,10000,9766,115.65436434745789,86.46452778865498
5,6,stochastic,saturate,97.66,10000,9766,106.54984760284424,93.85278557388627
3,1,stochastic,saturate,97.66,10000,9766,107.36496710777283,93.14025113948027
1,4,stochastic,saturate,97.66,10000,9766,106.82140851020813,93.61419344179846
0,7,stochastic,saturate,97.65,10000,9765,112.30001640319824,89.04718200660214
2,2,stochastic,saturate,97.65,10000,9765,107.64717364311218,92.89607577764632
3,8,stochastic,saturate,97.64,10000,9764,107.55201029777527,92.97827137134276
4,1,stochastic,saturate,97.64,10000,9764,104.4005537033081,95.78493260120644
3,5,stochastic,saturate,97.64,10000,9764,111.85904908180237,89.39822108345489
4,3,stochastic,saturate,97.64,10000,9764,108.09817409515381,92.50850057094826
4,6,stochastic,saturate,97.64,10000,9764,108.00014877319336,92.59246504373421
4,0,stochastic,saturate,97.64,10000,9764,107.49874949455261,93.02433792968671
5,7,stochastic,saturate,97.63,10000,9763,105.93453526496887,94.3979220278589
3,2,stochastic,saturate,97.62,10000,9762,106.38288116455078,94.00008620308198
5,3,stochastic,saturate,97.62,10000,9762,106.11667490005493,94.2358965677959
3,6,stochastic,saturate,97.62,10000,9762,108.2521960735321,92.37687883216091
5,1,stochastic,saturate,97.61,10000,9761,102.15505695343018,97.89040599878221
3,4,stochastic,saturate,97.6,10000,9760,108.74141716957092,91.96128080992398
2,5,stochastic,saturate,97.59,10000,9759,108.24963712692261,92.3790625577341
3,0,stochastic,saturate,97.57,10000,9757,111.33261132240295,89.82094178175218
4,5,stochastic,saturate,97.55,10000,9755,107.7765851020813,92.7845319141299
0,1,stochastic,saturate,9.8,10000,980,79.25936317443848,126.16805888272702
0,0,stochastic,saturate,9.8,10000,980,73.74101042747498,135.60975015164865
