m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,6,stochastic,wrap,97.84,10000,9784,105.3723075389862,94.90159448487115
5,1,stochastic,wrap,97.76,10000,9776,104.5150625705719,95.67998864515516
5,2,stochastic,wrap,97.74,10000,9774,106.82013607025146,93.6153085727525
5,5,stochastic,wrap,97.69,10000,9769,107.41336846351624,93.09828136892081
5,4,stochastic,wrap,97.68,10000,9768,105.07347869873047,95.17149449931387
5,8,stochastic,wrap,97.67,10000,9767,107.14183592796326,93.3342229334533
5,3,stochastic,wrap,97.65,10000,9765,107.14000177383423,93.33582074330526
4,1,stochastic,wrap,97.64,10000,9764,105.21565270423889,95.04289279191178
5,7,stochastic,wrap,97.63,10000,9763,105.97333908081055,94.3633567342296
5,0,stochastic,wrap,97.63,10000,9763,108.84968852996826,91.86980812762566
4,6,stochastic,wrap,97.61,10000,9761,108.46763944625854,92.19339566207309
4,5,stochastic,wrap,97.61,10000,9761,106.0490927696228,94.2959504776117
4,7,stochastic,wrap,97.58,10000,9758,105.35042834281921,94.92130366531737
4,3,stochastic,wrap,97.49,10000,9749,107.34693503379822,93.15589678318712
4,4,stochastic,wrap,97.48,10000,9748,108.89105749130249,91.8349057340979
4,8,stochastic,wrap,97.46,10000,9746,104.42458629608154,95.76288836468431
4,2,stochastic,wrap,97.46,10000,9746,107.46426939964294,93.05418494785044
4,0,stochastic,wrap,97.42,10000,9742,109.07639217376709,91.67886653300037
3,3,stochastic,wrap,56.71,10000,5671,116.17812657356262,86.07472245361194
3,2,stochastic,wrap,56.65,10000,5665,113.40273642539978,88.18129363728664
3,4,stochastic,wrap,56.13,10000,5613,115.23457860946655,86.77950768484432
3,1,stochastic,wrap,56.03,10000,5603,112.38358616828918,88.98096546790619
3,5,stochastic,wrap,55.9,10000,5590,115.44710040092468,86.61975887893243
3,8,stochastic,wrap,55.86,10000,5586,116.18462562561035,86.06990766767784
3,6,stochastic,wrap,55.84,10000,5584,115.28320813179016,86.74290178122159
3,7,stochastic,wrap,55.81,10000,5581,117.36926031112671,85.20118447957869
3,0,stochastic,wrap,55.01,10000,5501,117.19791555404663,85.32574963236809
1,0,stochastic,wrap,10.66,10000,1066,119.2612452507019,83.84953535390949
0,8,stochastic,wrap,10.41,10000,1041,108.77883911132812,91.92964442069146
2,3,stochastic,wrap,10.37,10000,1037,138.01039791107178,72.45830858660077
1,5,stochastic,wrap,10.35,10000,1035,136.19551610946655,73.42385627411217
0,4,stochastic,wrap,10.32,10000,1032,104.03491950035095,96.12157194937096
2,5,stochastic,wrap,10.3,10000,1030,140.49610018730164,71.17635284302236
2,0,stochastic,wrap,10.28,10000,1028,137.31309008598328,72.82626873911408
2,7,stochastic,wrap,10.28,10000,1028,139.71478533744812,71.57438617428612
1,6,stochastic,wrap,10.27,10000,1027,134.0143666267395,74.61886551202585
0,3,stochastic,wrap,10.21,10000,1021,97.65837001800537,102.39777704825802
1,2,stochastic,wrap,10.21,10000,1021,132.7579276561737,75.32506854052994
2,4,stochastic,wrap,10.2,10000,1020,138.35423588752747,72.27823518268943
1,8,stochastic,wrap,10.17,10000,1017,137.51415991783142,72.71978395515983
0,5,stochastic,wrap,10.15,10000,1015,105.52145886421204,94.76745401016754
2,6,stochastic,wrap,10.11,10000,1011,140.37727046012878,71.23660381215555
1,3,stochastic,wrap,10.09,10000,1009,131.43971300125122,76.08050696142958
1,4,stochastic,wrap,10.09,10000,1009,134.88219022750854,74.13877238449936
2,8,stochastic,wrap,10.08,10000,1008,138.1823341846466,72.36815081323975
1,7,stochastic,wrap,9.98,10000,998,136.31861782073975,73.35755130051344
2,2,stochastic,wrap,9.89,10000,989,138.84605026245117,72.02221439571154
0,7,stochastic,wrap,9.88,10000,988,107.15140295028687,93.32588957924818
0,2,stochastic,wrap,9.84,10000,984,93.30423355102539,107.1762729236856
0,1,stochastic,wrap,9.8,10000,980,70.0028223991394,142.85138309113287
0,6,stochastic,wrap,9.8,10000,980,106.25008940696716,94.11756786102306
0,0,stochastic,wrap,9.8,10000,980,68.63579535484314,145.69657054749015
1,1,stochastic,wrap,9.68,10000,968,117.75859189033508,84.9194936817238
2,1,stochastic,wrap,9.45,10000,945,134.6214416027069,74.28237196799506
