m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
0,3,trunc,saturate,97.81,10000,9781,63.940168380737305,156.39620997639744
5,3,trunc,saturate,97.8,10000,9780,64.35201454162598,155.3952905939179
3,2,trunc,saturate,97.79,10000,9779,66.06091213226318,151.37544543706272
1,4,trunc,saturate,97.79,10000,9779,65.92908310890198,151.6781294149344
3,8,trunc,saturate,97.77,10000,9777,65.47084927558899,152.73973242513796
1,7,trunc,saturate,97.76,10000,9776,69.16853046417236,144.57441748281408
4,7,trunc,saturate,97.74,10000,9774,66.96648573875427,149.32842734216953
2,2,trunc,saturate,97.74,10000,9774,63.90086770057678,156.49239767537208
1,3,trunc,saturate,97.74,10000,9774,65.63944482803345,152.34741893687035
2,4,trunc,saturate,97.73,10000,9773,65.43022561073303,152.83456394439852
4,3,trunc,saturate,97.73,10000,9773,66.58402037620544,150.18618496598944
0,7,trunc,saturate,97.73,10000,9773,67.41453075408936,148.3359727960934
2,6,trunc,saturate,97.72,10000,9772,66.16535425186157,151.13649904955582
3,4,trunc,saturate,97.72,10000,9772,66.52734446525574,150.31413143542133
5,8,trunc,saturate,97.72,10000,9772,66.98258638381958,149.29253317718434
5,4,trunc,saturate,97.72,10000,9772,65.16682457923889,153.4523135746872
0,6,trunc,saturate,97.71,10000,9771,67.64612889289856,147.82811912020279
2,3,trunc,saturate,97.71,10000,9771,66.50786828994751,150.35814945088947
5,7,trunc,saturate,97.71,10000,9771,66.89140439033508,149.49603900744034
0,2,trunc,saturate,97.7,10000,9770,63.94092607498169,156.39435669532355
0,8,trunc,saturate,97.7,10000,9770,65.49918794631958,152.67364853737706
5,2,trunc,saturate,97.69,10000,9769,66.08090353012085,151.32964995616052
3,7,trunc,saturate,97.69,10000,9769,64.98002004623413,153.8934582181549
1,2,trunc,saturate,97.68,10000,9768,66.21308541297913,151.0275489750821
0,5,trunc,saturate,97.68,10000,9768,66.24613690376282,150.95219838293687
0,4,trunc,saturate,97.67,10000,9767,66.21089768409729,151.03253920089693
1,5,trunc,saturate,97.67,10000,9767,65.96318078041077,151.5997239928388
5,6,trunc,saturate,97.67,10000,9767,67.78495621681213,147.525358989902
3,1,trunc,saturate,97.67,10000,9767,64.32835865020752,155.45243512858914
2,8,trunc,saturate,97.67,10000,9767,66.62869238853455,150.0854908225814
4,2,trunc,saturate,97.66,10000,9766,64.4712221622467,155.10796390417795
3,6,trunc,saturate,97.66,10000,9766,66.00069427490234,151.51355769605343
3,5,trunc,saturate,97.66,10000,9766,65.03222823143005,153.76991181069516
5,5,trunc,saturate,97.65,10000,9765,66.57760691642761,150.20065248894613
1,8,trunc,saturate,97.65,10000,9765,66.25701999664307,150.9274036246522
4,1,trunc,saturate,97.64,10000,9764,62.84493660926819,159.1218090038654
4,5,trunc,saturate,97.64,10000,9764,66.47761964797974,150.42656540581928
2,5,trunc,saturate,97.64,10000,9764,66.09517455101013,151.29697542870275
4,6,trunc,saturate,97.64,10000,9764,65.85539674758911,151.84784381951337
4,8,trunc,saturate,97.62,10000,9762,65.9918122291565,151.53395038273857
1,6,trunc,saturate,97.62,10000,9762,65.5067720413208,152.65597263275518
2,7,trunc,saturate,97.6,10000,9760,66.3043007850647,150.8197791334305
3,3,trunc,saturate,97.59,10000,9759,66.40543150901794,150.59009139398464
1,1,trunc,saturate,97.58,10000,9758,65.20834350585938,153.35460866447923
4,4,trunc,saturate,97.58,10000,9758,66.34001684188843,150.73858096589746
4,0,trunc,saturate,97.58,10000,9758,64.7620735168457,154.4113623446419
2,1,trunc,saturate,97.56,10000,9756,64.17690014839172,155.81930534004766
5,1,trunc,saturate,97.55,10000,9755,63.206724882125854,158.21101344277824
3,0,trunc,saturate,97.52,10000,9752,64.48161149024963,155.08297278693345
5,0,trunc,saturate,97.52,10000,9752,63.54231262207031,157.37544932424564
2,0,trunc,saturate,97.46,10000,9746,62.727421283721924,159.41991230229402
1,0,trunc,saturate,97.43,10000,9743,63.47533059120178,157.5415189942482
0,1,trunc,saturate,9.8,10000,980,44.41781663894653,225.13488407784044
0,0,trunc,saturate,9.8,10000,980,44.45645475387573,224.93921423476073
