m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,4,trunc,wrap,97.81,10000,9781,105.64351153373718,94.65796672999181
5,8,trunc,wrap,97.77,10000,9777,105.73085641860962,94.57976922468119
5,6,trunc,wrap,97.74,10000,9774,107.36614346504211,93.13923064821594
5,5,trunc,wrap,97.74,10000,9774,105.40208506584167,94.87478348984544
5,2,trunc,wrap,97.69,10000,9769,103.48195147514343,96.63520891758617
5,7,trunc,wrap,97.68,10000,9768,105.20014643669128,95.05690190286883
5,3,trunc,wrap,97.64,10000,9764,103.59353303909302,96.53112222966956
4,5,trunc,wrap,97.62,10000,9762,105.5811676979065,94.71386060639566
5,1,trunc,wrap,97.58,10000,9758,100.56709504127502,99.4361027918304
4,2,trunc,wrap,97.55,10000,9755,103.29233527183533,96.812604475278
5,0,trunc,wrap,97.53,10000,9753,100.8109028339386,99.19561990703093
4,3,trunc,wrap,97.53,10000,9753,104.73450064659119,95.47952144005826
4,1,trunc,wrap,97.52,10000,9752,100.73991775512695,99.26551681635725
4,8,trunc,wrap,97.5,10000,9750,106.50887513160706,93.88888942488182
4,6,trunc,wrap,97.47,10000,9747,106.10367155075073,94.2474454827595
4,7,trunc,wrap,97.47,10000,9747,106.42222595214844,93.96533393782224
4,0,trunc,wrap,97.46,10000,9746,99.15588092803955,100.85130510067583
4,4,trunc,wrap,97.44,10000,9744,104.25664567947388,95.91714691017349
3,0,trunc,wrap,73.67,10000,7367,106.17386889457703,94.18513334885891
3,1,trunc,wrap,63.67,10000,6367,107.94741106033325,92.63770109698014
3,2,trunc,wrap,58.68,10000,5868,113.082279920578,88.43118485958526
3,3,trunc,wrap,57.62,10000,5762,112.77334237098694,88.67343815263817
3,4,trunc,wrap,56.68,10000,5668,113.08520555496216,88.42889705090342
3,5,trunc,wrap,56.66,10000,5666,114.6588659286499,87.21523555119423
3,6,trunc,wrap,56.06,10000,5606,114.894366979599,87.03646891388183
3,7,trunc,wrap,55.95,10000,5595,116.03540706634521,86.18059136279265
3,8,trunc,wrap,55.69,10000,5569,114.35860395431519,87.44422941709637
2,0,trunc,wrap,10.82,10000,1082,120.92312264442444,82.69716974978468
2,8,trunc,wrap,10.78,10000,1078,137.17830729484558,72.89782325791788
2,6,trunc,wrap,10.65,10000,1065,136.9405677318573,73.02437959495651
0,3,trunc,wrap,10.62,10000,1062,100.4838969707489,99.51843331584784
2,3,trunc,wrap,10.48,10000,1048,135.18695521354675,73.97163420245391
0,2,trunc,wrap,10.43,10000,1043,92.03959941864014,108.64888660059476
2,1,trunc,wrap,10.36,10000,1036,125.79617738723755,79.49367149064527
2,2,trunc,wrap,10.32,10000,1032,133.82601618766785,74.72388616856628
0,4,trunc,wrap,10.31,10000,1031,104.25448870658875,95.91913138765423
1,6,trunc,wrap,10.19,10000,1019,133.87585020065308,74.69607091205773
2,5,trunc,wrap,10.13,10000,1013,136.62646389007568,73.19226243054646
2,4,trunc,wrap,10.07,10000,1007,136.84822845458984,73.07365329408182
2,7,trunc,wrap,9.99,10000,999,138.22052454948425,72.3481554754186
1,7,trunc,wrap,9.97,10000,997,135.17706775665283,73.97704481948155
0,6,trunc,wrap,9.95,10000,995,107.4020483493805,93.10809387424203
1,3,trunc,wrap,9.91,10000,991,130.71488976478577,76.50237871136524
1,8,trunc,wrap,9.89,10000,989,134.42930555343628,74.3885416861352
0,1,trunc,wrap,9.8,10000,980,69.866774559021,143.12954996301355
0,0,trunc,wrap,9.8,10000,980,68.46726965904236,146.055188848608
1,2,trunc,wrap,9.79,10000,979,126.61786198616028,78.97779857547295
1,5,trunc,wrap,9.75,10000,975,133.45954775810242,74.92907152754003
0,5,trunc,wrap,9.72,10000,972,105.40992736816406,94.86772498261111
1,0,trunc,wrap,9.55,10000,955,110.33456134796143,90.63343233370966
1,4,trunc,wrap,9.53,10000,953,133.54443335533142,74.88144394152522
0,8,trunc,wrap,9.46,10000,946,106.75377106666565,93.67350586383684
1,1,trunc,wrap,9.17,10000,917,115.49233794212341,86.58583052506299
0,7,trunc,wrap,8.95,10000,895,108.15766263008118,92.45761933855592
